"ID","year","month","intervention","Population","Population.u5","Population.over5","closest.csb","real.dist.csb","m1.fit.st","palu.pc.2nn_0.08","palu.und5.pc.3nn_0.19"
1,2014,12,1,1217,219,998,"csb1.analamarina",7.536,0.0570434171197003,0.00410862487350337,0
1,2014,2,1,1217,219,998,"csb1.analamarina",7.536,0.0287049755473307,0,0
1,2014,3,1,1217,219,998,"csb1.analamarina",7.536,0.029001070651555,0,0
1,2014,4,1,1217,219,998,"csb1.analamarina",7.536,0.0290916633177425,0,0
1,2014,5,1,1217,219,998,"csb1.analamarina",7.536,0.028942826483955,0,0
1,2014,6,1,1217,219,998,"csb1.analamarina",7.536,0.0285897825980863,0,0
1,2014,7,1,1217,219,998,"csb1.analamarina",7.536,0.0281247390399804,0,0
1,2014,8,1,1217,219,998,"csb1.analamarina",7.536,0.0276671846202139,0,0
1,2014,9,1,1217,219,998,"csb1.analamarina",7.536,0.027329546789642,0,0
1,2015,1,1,1251,225,1026,"csb1.analamarina",7.536,0.0578637760078856,0.00794998964830174,0
1,2015,10,1,1251,225,1026,"csb1.analamarina",7.536,0.0585932711025903,0.00791014494877949,0.00831886506122428
1,2015,11,1,1251,225,1026,"csb1.analamarina",7.536,0.0565747103306126,0.0120320820537998,0.0335061348131154
1,2015,12,1,1251,225,1026,"csb1.analamarina",7.536,0.0568820120296167,0,0
1,2015,2,1,1251,225,1026,"csb1.analamarina",7.536,0.0598019505499968,0.0117674989145066,0.016569425283273
1,2015,3,1,1251,225,1026,"csb1.analamarina",7.536,0.0595560501452941,0.00392908288867782,0.00829163805405733
1,2015,4,1,1251,225,1026,"csb1.analamarina",7.536,0.0586121475872382,0.00790911922405677,0.0166366590462431
1,2015,5,1,1251,225,1026,"csb1.analamarina",7.536,0.0588733335462185,0.011842430939883,0.0249327797411124
1,2015,6,1,1251,225,1026,"csb1.analamarina",7.536,0.0592806028906989,0.00787296691592895,0.00829940937224618
1,2015,7,1,1251,225,1026,"csb1.analamarina",7.536,0.0572219032292466,0.0119780728816565,0.0250738710857497
1,2015,8,1,1251,225,1026,"csb1.analamarina",7.536,0.059048017848611,0.0039427541719845,0.00830598275343672
1,2015,9,1,1251,225,1026,"csb1.analamarina",7.536,0.0572310974570067,0.00399243636769071,0.00835769371608915
1,2016,1,1,1286,231,1055,"csb1.analamarina",7.536,0.0601491380863354,0.0228383347000521,0.0242030455477467
1,2016,10,1,1286,231,1055,"csb1.analamarina",7.536,0.0577809315572286,0,0
1,2016,11,1,1286,231,1055,"csb1.analamarina",7.536,0.0568943573590274,0.00778502278582164,0.0163155233104449
1,2016,12,1,1286,231,1055,"csb1.analamarina",7.536,0.058012624891775,0.0270373997831306,0.0568861041799966
1,2016,2,1,1286,231,1055,"csb1.analamarina",7.536,0.0615419792412894,0.0150827506830944,0.0240892152219964
1,2016,3,1,1286,231,1055,"csb1.analamarina",7.536,0.0615977471129462,0.0263849051347861,0.0561975863628266
1,2016,4,1,1286,231,1055,"csb1.analamarina",7.536,0.0612183617042941,0.0113367684359759,0.0160770448996031
1,2016,5,1,1286,231,1055,"csb1.analamarina",7.536,0.0606259967693677,0.00758818072833847,0.00805465107108246
1,2016,6,1,1286,231,1055,"csb1.analamarina",7.536,0.0604504388345864,0.00759721791425556,0.0161188870368632
1,2016,7,1,1286,231,1055,"csb1.analamarina",7.536,0.0594751337109434,0.0152956364547863,0.0161723439488702
1,2016,8,1,1286,231,1055,"csb1.analamarina",7.536,0.0604460887477956,0.00759744211673851,0.0080595623411745
1,2016,9,1,1286,231,1055,"csb1.analamarina",7.536,0.0616844475962155,0,0
1,2017,1,1,1322,238,1084,"csb1.analamarina",7.536,0.0599485641399812,0.0222616502989861,0.0313269385532062
1,2017,10,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,11,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,12,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,2,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,3,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,4,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,5,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,6,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,7,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,8,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
1,2017,9,1,1322,238,1084,"csb1.analamarina",7.536,NA,NA,NA
10,2014,1,1,1253,226,1027,"csb2.tsaratanana",14.735,NA,NA,NA
10,2014,10,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0669932766456372,0.00626975985324483,0.022288183225638
10,2014,11,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0659351210462863,0.0252526073356828,0.0670999648620201
10,2014,12,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0669261937282835,0.104541550297402,0.289810841741818
10,2014,2,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0203236054868934,0,0
10,2014,3,1,1253,226,1027,"csb2.tsaratanana",14.735,NA,NA,NA
10,2014,4,1,1253,226,1027,"csb2.tsaratanana",14.735,NA,NA,NA
10,2014,5,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0203941889588531,0.0179826179495574,0.0421778919800833
10,2014,6,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0200477184035784,0.00601361448324874,0.00527940987414051
10,2014,7,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0200074288878298,0.00902381935764421,0.0105604906028089
10,2014,8,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0193051248480934,0.00605563923917977,0.0105897011869281
10,2014,9,1,1253,226,1027,"csb2.tsaratanana",14.735,0.0190686295479344,0.00910371981246353,0.00529978701348629
10,2015,1,1,1288,232,1056,"csb2.tsaratanana",14.735,0.069518483952578,0.139996384774706,0.284026305234355
10,2015,10,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0683231319178882,0.00806137526200798,0.0216020489671689
10,2015,11,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0701363710033578,0.00796832868704301,0.0257682211440437
10,2015,12,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0702008269984943,0.00796506063851063,0.0300565675342137
10,2015,2,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0701348587155676,0.0976129660920963,0.201852067302144
10,2015,3,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0689137495880371,0.0622389318751288,0.150920100834312
10,2015,4,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0691269038407892,0.0621539371379795,0.150814189805063
10,2015,5,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0804470226306939,0.02804083096306,0.0415415529294364
10,2015,6,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0721441589842246,0.00786777322046804,0.0170663749889906
10,2015,7,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0690497048628789,0.0040119156913031,0.00862014462140411
10,2015,8,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0645685792387589,0,0
10,2015,9,1,1288,232,1056,"csb2.tsaratanana",14.735,0.0640837132630049,0,0
10,2016,1,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0718684707275912,0.0287442655050554,0.095683256668737
10,2016,10,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0668820722801263,0.00197839617698715,0.00422894607086276
10,2016,11,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0701741119225516,0.0135586327862601,0.0334661482081774
10,2016,12,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0702562454171956,0.0232312275401972,0.0418214152611205
10,2016,2,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0724992393373167,0.00763481654920161,0.0415159719187331
10,2016,3,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0749022947611579,0.0300858692964746,0.0700291961030315
10,2016,4,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0747970792962982,0.0150527194177224,0.0535699485437254
10,2016,5,1,1324,238,1086,"csb2.tsaratanana",14.735,0.07475351817788,0.00376419355438499,0.00412134550656925
10,2016,6,1,1324,238,1086,"csb2.tsaratanana",14.735,0.07485325687142,0.00188093668292947,0.0164800689146135
10,2016,7,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0729903954662697,0,0
10,2016,8,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0699052199233975,0,0
10,2016,9,1,1324,238,1086,"csb2.tsaratanana",14.735,0.0709487406739742,0,0
10,2017,1,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0767297047664781,0.0217106048582971,0.0715692307570152
10,2017,10,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0737031409193143,0.00368659828715453,0.0321207929381205
10,2017,11,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0739308878454839,0.0202475886271266,0.080242708677328
10,2017,12,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0746851398745705,0.0476346260166303,0.148087004655148
10,2017,2,1,1361,245,1116,"csb2.tsaratanana",14.735,0.075421238425124,0.0346521197933944,0.0558998847294814
10,2017,3,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0785550120290142,0.0447316218685515,0.126492603232534
10,2017,4,1,1361,245,1116,"csb2.tsaratanana",14.735,0.08088801418538,0.0617538225762738,0.0902442712394127
10,2017,5,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0811845370682222,0.0264192511860606,0.0587996971269081
10,2017,6,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0791629577457151,0.00891358418937183,0.0394523509573211
10,2017,7,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0792624132618602,0.0195981520390945,0.00394398500302213
10,2017,8,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0800577139631158,0.00177316634443377,0.00786803401321139
10,2017,9,1,1361,245,1116,"csb2.tsaratanana",14.735,0.0753838288837328,0.0018242160448314,0.00399333075420573
100,2014,1,0,1018,183,835,"csb2.fasintsara",2.423,NA,NA,NA
100,2014,10,0,1018,183,835,"csb2.fasintsara",2.423,0.0904317190012635,0.0303164524991072,0.0365099647659926
100,2014,11,0,1018,183,835,"csb2.fasintsara",2.423,0.0881069591146067,0.0952290019264442,0.125028083637023
100,2014,12,0,1018,183,835,"csb2.fasintsara",2.423,0.0905719279620807,0.102994532426974,0.109482669371004
100,2014,2,0,1018,183,835,"csb2.fasintsara",2.423,0.092659987696846,0.434135261476159,0.478650312850744
100,2014,3,0,1018,183,835,"csb2.fasintsara",2.423,0.0952500667274394,0.26858437809228,0.27342268314642
100,2014,4,0,1018,183,835,"csb2.fasintsara",2.423,0.0949889831943254,0.156652727199303,0.201628929754883
100,2014,5,0,1018,183,835,"csb2.fasintsara",2.423,0.0934166437212643,0.0447221505529175,0.0940621390325258
100,2014,6,0,1018,183,835,"csb2.fasintsara",2.423,0.0906956222582253,0.0121085672405551,0.0145921387581699
100,2014,7,0,1018,183,835,"csb2.fasintsara",2.423,0.100253443768501,0.0545793432516387,0.0496147937243542
100,2014,8,0,1018,183,835,"csb2.fasintsara",2.423,0.0909317018298682,0.0332543694710072,0.0437446708509823
100,2014,9,0,1018,183,835,"csb2.fasintsara",2.423,0.0872592404700263,0.0463027592672295,0.0737396278081848
100,2015,1,0,1047,188,859,"csb2.fasintsara",2.423,0.0908023018104676,0.152928076155539,0.185010358037364
100,2015,10,0,1047,188,859,"csb2.fasintsara",2.423,0.0976252201402993,0.0254899590725288,0.0209089632422327
100,2015,11,0,1047,188,859,"csb2.fasintsara",2.423,0.0904685923131195,0.0265181027800143,0.0213692625849276
100,2015,12,0,1047,188,859,"csb2.fasintsara",2.423,0.0868476692391626,0.0751959806693725,0.0648298858490077
100,2015,2,0,1047,188,859,"csb2.fasintsara",2.423,0.108956599750442,0,0
100,2015,3,0,1047,188,859,"csb2.fasintsara",2.423,NA,NA,NA
100,2015,4,0,1047,188,859,"csb2.fasintsara",2.423,NA,NA,NA
100,2015,5,0,1047,188,859,"csb2.fasintsara",2.423,NA,NA,NA
100,2015,6,0,1047,188,859,"csb2.fasintsara",2.423,0.103734898962908,0.219318106600549,0.383253008897199
100,2015,7,0,1047,188,859,"csb2.fasintsara",2.423,0.117535675832978,0.0920326783554861,0.0460292167836166
100,2015,8,0,1047,188,859,"csb2.fasintsara",2.423,0.0976422951347111,0.0623030255295767,0.0487850737016338
100,2015,9,0,1047,188,859,"csb2.fasintsara",2.423,0.106795841750832,0,0
100,2016,1,0,1076,194,882,"csb2.fasintsara",2.423,0.0895985026543362,0.112396492636106,0.110944830229929
100,2016,10,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2016,11,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2016,12,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2016,2,0,1076,194,882,"csb2.fasintsara",2.423,0.0897594859908528,0.138208128651617,0.200987708228161
100,2016,3,0,1076,194,882,"csb2.fasintsara",2.423,0.102341208275769,0.298363988133402,0.447012600193522
100,2016,4,0,1076,194,882,"csb2.fasintsara",2.423,0.106096441785656,0.129148276323766,0.151760813918498
100,2016,5,0,1076,194,882,"csb2.fasintsara",2.423,0.0988242775813276,0.0821654226597276,0.094390789760334
100,2016,6,0,1076,194,882,"csb2.fasintsara",2.423,0.102590934587829,0,0
100,2016,7,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2016,8,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2016,9,0,1076,194,882,"csb2.fasintsara",2.423,NA,NA,NA
100,2017,1,0,1106,199,907,"csb2.fasintsara",2.423,NA,NA,NA
100,2017,10,0,1106,199,907,"csb2.fasintsara",2.423,0.093997512858965,0.030072119986904,0.0199424862856421
100,2017,11,0,1106,199,907,"csb2.fasintsara",2.423,0.101622853500283,0.0944383296090112,0.175412065611553
100,2017,12,0,1106,199,907,"csb2.fasintsara",2.423,0.102106677142222,0.211942488132054,0.395731913023705
100,2017,2,0,1106,199,907,"csb2.fasintsara",2.423,0.104600415608015,0.24533858082444,0.296226995504165
100,2017,3,0,1106,199,907,"csb2.fasintsara",2.423,0.0909573986721993,0.275273720992301,0.234834858755262
100,2017,4,0,1106,199,907,"csb2.fasintsara",2.423,0.0988682785284657,0.154406002121438,0.209612971169592
100,2017,5,0,1106,199,907,"csb2.fasintsara",2.423,0.102123776236838,0.149131226545275,0.259483159832464
100,2017,6,0,1106,199,907,"csb2.fasintsara",2.423,0.104187603216654,0,0
100,2017,7,0,1106,199,907,"csb2.fasintsara",2.423,NA,NA,NA
100,2017,8,0,1106,199,907,"csb2.fasintsara",2.423,NA,NA,NA
100,2017,9,0,1106,199,907,"csb2.fasintsara",2.423,0.0909966759793871,0.0083397868046134,0
101,2014,1,0,1094,197,897,"csb2.fasintsara",3.357,NA,NA,NA
