"alt_bf","ID"
593.142857142857,0
608.911764705882,1
509.272727272727,2
547.714285714286,3
219.785714285714,4
214.578947368421,5
500.941176470588,6
380.882352941176,7
248.185185185185,8
317.263157894737,9
436.583333333333,10
466.407407407407,11
503.25,12
520.416666666667,13
465.333333333333,14
517.266666666667,15
482.611111111111,16
599.916666666667,17
471.416666666667,18
465,19
552.25,20
450,21
463,22
1064.16,23
1105,24
890.657142857143,25
692.678571428571,26
675.5,27
645,28
668.260869565217,29
610.9,30
262.478260869565,31
351.571428571429,32
397.5625,33
296.25,34
286.583333333333,35
259.1,36
289,37
174.142857142857,38
223,39
328.3,40
416.76,41
938.096774193548,42
670.555555555556,43
659.526315789474,44
631.909090909091,45
605.75,46
697,47
671,48
684.2,49
590.714285714286,50
566.545454545455,51
716.96,52
450.136363636364,53
383.461538461538,54
470.857142857143,55
468.647058823529,56
589.521739130435,57
385.153846153846,58
467.75,59
606.111111111111,60
848.428571428571,61
560.7,62
572,63
548,64
573.363636363636,65
598,66
605.285714285714,67
615.222222222222,68
599.2,69
606.166666666667,70
595,71
588.6,72
484.868421052632,73
443.744186046512,74
464.833333333333,75
568,76
526.692307692308,77
482.416666666667,78
506.888888888889,79
521.965517241379,80
460.8,81
549.545454545455,82
549,83
501.142857142857,84
656.583333333333,85
1147.31818181818,86
1128.25925925926,87
749.333333333333,88
768,89
940.375,90
759.428571428571,91
1004.66666666667,92
670,93
663.142857142857,94
628.5,95
627.5,96
707,97
691.5,98
682.5,99
721,100
659.166666666667,101
665.166666666667,102
670.666666666667,103
715.666666666667,104
653.1,105
1099.89655172414,106
1004.6667,107
789.777777777778,108
410.033333333333,109
660.88,110
635.857142857143,111
357.653846153846,112
533.407407407407,113
347.454545454545,114
209.5,115
364.5625,116
105.375,117
307.5,118
278.5,119
318.25,120
348.4,121
253.25,122
449.846153846154,123
389.583333333333,124
303.066666666667,125
363.444444444444,126
525.863636363636,127
437.375,128
448.25,129
453.25,130
366.909090909091,131
310.5,132
344.818181818182,133
302.25,134
473.842105263158,135
253,136
351.6,137
273.571428571429,138
287.714285714286,139
279.071428571429,140
443.083333333333,141
659.941176470588,142
749.533333333333,143
906,144
720.818181818182,145
651.555555555556,146
707,147
830,148
626.272727272727,149
688,150
640.666666666667,151
650.5,152
654,153
638.6,154
644.875,155
674.75,156
644.166666666667,157
621.125,158
652.75,159
643.214285714286,160
634,161
673.454545454545,162
691.5,163
586,164
627.285714285714,165
600,166
583.6,167
639.333333333333,168
664.444444444444,169
649.5,170
576.578947368421,171
564.6,172
611.833333333333,173
929.657142857143,174
699.2,175
835.5,176
826,177
1163,178
1235.35849056604,179
1135.51515151515,180
686,181
743.52,182
662.133333333333,183
656.25,184
665.75,185
657.588235294118,186
593.833333333333,187
569.5,188
537.416666666667,189
862.290322580645,190
645.833333333333,191
688.5,192
897.025,193
754.2,194
