OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,tmx_2014_0,tmx_2014_1,tmx_2014_2,tmx_2014_3,tmx_2014_4,tmx_2014_5,tmx_2014_6,tmx_2014_7,tmx_2014_8,tmx_2014_9,tmx_201410,tmx_201411,tmx_2015_0,tmx_2015_1,tmx_2015_2,tmx_2015_3,tmx_2015_4,tmx_2015_5,tmx_2015_6,tmx_2015_7,tmx_2015_8,tmx_2015_9,tmx_201510,tmx_201511,tmx_2016_0,tmx_2016_1,tmx_2016_2,tmx_2016_3,tmx_2016_4,tmx_2016_5,tmx_2016_6,tmx_2016_7,tmx_2016_8,tmx_2016_9,tmx_201610,tmx_201611,tmx_2017_0,tmx_2017_1,tmx_2017_2,tmx_2017_3,tmx_2017_4,tmx_2017_5,tmx_2017_6,tmx_2017_7,tmx_2017_8,tmx_2017_9,tmx_201710,tmx_201711
11,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIRAFIA EST,29.18850169,29.0926469,28.54916312,27.81753033,26.01851988,24.80080414,23.90387774,24.15636334,25.35968507,27.1482788,28.71761461,29.49315992,28.98850093,28.69705504,28.44060596,28.11771359,26.69476329,24.87678734,23.92674635,23.85636293,25.1596862,27.75135463,28.61761423,30.09315963,29.51136923,29.56537083,29.2406052,28.21771398,25.29476272,23.70080376,23.12674642,23.95636331,25.25968658,27.45064903,26.84048251,29.69227029,29.61136961,29.09283,28.84060558,28.01771322,26.69476329,25.20080376,24.02763505,24.15654644,25.65986929,27.65153773,28.31231743,29.19201101
12,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANA,28.977497,28.85678526,28.31104385,27.54896342,25.7364298,24.49965211,23.59449584,23.87169334,25.09053733,26.8708834,28.45629752,29.2469238,28.77749624,28.46260265,28.20019349,27.84896505,26.4232121,24.58565075,23.60769428,23.57169411,24.89053837,27.47589611,28.35629714,29.84692268,29.29069545,29.33776991,29.00019273,27.94896543,25.0232121,23.39965173,22.80769444,23.67169449,24.99053875,27.17587865,26.5694967,29.44690354,29.39069583,28.85678765,28.60019311,27.74896467,26.4232121,24.89965173,23.70771336,23.87169573,25.39054076,27.37589812,28.05046234,28.94612036
13,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRAKELY,28.83903563,28.82183755,28.32230422,27.51575813,25.69756681,24.46807237,23.54236695,23.87831773,25.14571411,27.00839931,28.52790278,29.19928703,28.63903487,28.4426719,28.18569663,27.81575737,26.37834243,24.54378845,23.5615921,23.57831737,24.94571414,27.62417371,28.4279024,29.79928629,29.15826002,29.28177955,28.98569587,27.91575775,24.9783409,23.36807199,22.76159208,23.67831775,25.04571452,27.32417336,26.64712831,29.39928667,29.2582604,28.82183755,28.58569625,27.71575698,26.37834243,24.86807199,23.66159169,23.87831773,25.44571414,27.52417333,28.10706919,28.89422673
14,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHINIHAONANA,28.73629225,28.65220962,28.13200038,27.33898541,25.53766683,24.2849604,23.35948086,23.65858282,24.92764539,26.80747025,28.3734092,29.05839864,28.53629149,28.26496579,28.00929765,27.63898465,26.21842091,24.36290401,23.37872616,23.35858301,24.72764538,27.41741742,28.27340881,29.65839711,29.05553707,29.12020721,28.80929689,27.73898503,24.818421,23.18496002,22.57872669,23.45858339,24.82764576,27.11741679,26.49265464,29.2583975,29.15553745,28.65220962,28.40929727,27.53898427,26.21842091,24.68496002,23.47872654,23.65858282,25.22764538,27.31741704,27.96065327,28.75558764
15,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIMANGA EST,28.98648571,28.88236835,28.3258674,27.54901495,25.70708845,24.48762649,23.58937736,23.89494556,25.09944291,26.84148096,28.3867265,29.19602364,28.78648494,28.49386681,28.20237028,27.84901419,26.40425086,24.58431004,23.59221592,23.59481563,24.89944384,27.45348067,28.28672612,29.79602211,29.28932355,29.36803147,29.00236952,27.94901457,25.00424933,23.38762611,22.79319628,23.69494671,24.99944422,27.15263061,26.48956549,29.39602249,29.38932394,28.88236835,28.60236986,27.74901421,26.40425086,24.88762611,23.69221631,23.89494556,25.39944384,27.35263115,27.9743798,28.89567421
16,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHITSARA I,28.82618924,28.71910539,28.21473318,27.40970955,25.57888203,24.33395958,23.42460639,23.76615342,25.00323463,26.8245592,28.3622828,29.08875403,28.62618848,28.33418579,28.08628342,27.70970879,26.26940314,24.42277044,23.43408713,23.46615418,24.80323575,27.43793026,28.26228242,29.6887525,29.13566895,29.19454516,28.88628266,27.80970917,24.86940161,23.2339592,22.63408684,23.56615456,24.90323613,27.13792915,26.47176255,29.28875288,29.23566934,28.71910539,28.48628304,27.60970896,26.26940314,24.73395976,23.53408751,23.76615342,25.30323575,27.33792988,27.94720287,28.78704406
17,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SAHOFIKA,28.93442027,28.85393393,28.36031896,27.54306387,25.69837888,24.45942948,23.56253669,23.94103341,25.18835194,26.98041775,28.48330995,29.20339336,28.7344195,28.47609774,28.21734894,27.84306314,26.39349286,24.55316678,23.56742432,23.6410301,24.98835194,27.60122407,28.38330957,29.80339184,29.23930644,29.3268833,29.01734818,27.94306352,24.99349137,23.3594291,22.76744465,23.74103456,25.08835232,27.30120885,26.58819636,29.40339222,29.33930682,28.85393393,28.61734856,27.74306321,26.39349286,24.85942954,23.6674247,23.94103341,25.48835194,27.5012082,28.06113069,28.90201997
18,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANDRORANGAVOLA VATOFOTSY,28.10186481,28.04624451,27.61872005,26.71476519,24.86253519,23.59988965,22.64264942,23.03867628,24.41575209,26.28413872,27.82224274,28.39675474,27.90186404,27.68145763,27.45182713,27.01476458,25.55632475,23.6901474,22.6488602,22.73867704,24.21575201,26.91581924,27.72224236,28.99675434,28.40807482,28.50482133,28.25182637,27.11476496,24.15632338,22.49988927,21.84886078,22.83867742,24.31575239,26.61581863,25.92845267,28.59675472,28.50807521,28.04624451,27.85182675,26.9147642,25.55632475,23.99988927,22.7488604,23.03867628,24.71575201,26.81581886,27.38702967,28.09322219
19,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT TSARATANANA,28.87298133,28.83181501,28.34995448,27.53364366,25.70443879,24.47060267,23.56530147,23.91597678,25.17457703,27.00746259,28.49779902,29.17896013,28.67298057,28.45335199,28.21040664,27.83364306,26.39146174,24.55409901,23.57827912,23.61597663,24.97457726,27.62547384,28.39779864,29.77895861,29.18595905,29.29730086,29.01040587,27.93364344,24.99146038,23.37060229,22.77827989,23.71597701,25.07457764,27.3254727,26.61077622,29.37895899,29.28595943,28.83181501,28.61040626,27.73364351,26.39146174,24.87060312,23.67827951,23.91597678,25.47457726,27.52547346,28.07626198,28.8754326
20,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIGOAVY,28.9479482,28.91604302,28.48934129,27.63968684,25.78977412,24.58114056,23.68397492,24.0585978,25.3586601,27.1337395,28.59638187,29.22486079,28.74794744,28.54488748,28.33522136,27.93968788,26.48097029,24.66877126,23.69277768,23.75859856,25.15866124,27.75901533,28.49638149,29.82485926,29.25675027,29.37839609,29.13522059,28.03968826,25.08097057,23.48114018,22.89277844,23.85859895,25.25866162,27.45901421,26.70518494,29.42485965,29.35675065,28.91604302,28.73522098,27.83968757,26.48097029,24.98114026,23.79277806,24.0585978,25.65866124,27.65901495,28.16753807,28.92129274
