OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,p_2014_01,p_2014_02,p_2014_03,p_2014_04,p_2014_05,p_2014_06,p_2014_07,p_2014_08,p_2014_09,p_2014_10,p_2014_11,p_2014_12,p_2015_01,p_2015_02,p_2015_03,p_2015_04,p_2015_05,p_2015_06,p_2015_07,p_2015_08,p_2015_09,p_2015_10,p_2015_11,p_2015_12,p_2016_01,p_2016_02,p_2016_03,p_2016_04,p_2016_05,p_2016_06,p_2016_07,p_2016_08,p_2016_09,p_2016_10,p_2016_11,p_2016_12,p_2017_01,p_2017_02,p_2017_03,p_2017_04,p_2017_05,p_2017_06,p_2017_07,p_2017_08,p_2017_09,p_2017_10,p_2017_11,p_2017_12
74,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT AMBODIARA,394.3069271,312.2434191,369.1426085,96.01519786,60.67716465,89.25574999,118.9996676,66.00568193,41.73934943,35.9034143,198.7006102,251.0336683,388.4650219,397.8986808,313.4924196,105.1740518,107.0510734,76.76583575,64.98472203,99.59557114,42.36146012,49.09579863,165.751182,312.6896196,400.8681058,295.5009028,437.352492,117.0937347,80.63325193,152.750389,65.7794926,58.51594626,38.78002062,41.54479606,104.2110191,177.2438222,277.9450525,355.5008335,435.2197559,173.4696525,57.60662667,92.43826546,157.3247025,153.9911093,98.09629943,49.42292884,205.5876701,353.4025127
75,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT SAHAFITOROKA,405.363291,306.4777403,383.7444623,91.13953857,60.9394837,89.69829681,129.9312442,65.68704059,39.8041776,32.51523429,206.6715544,241.7778549,396.7600269,410.962653,314.6578492,99.58037933,115.3698008,74.34140308,64.43686103,107.9358462,42.09213401,49.7360691,165.3760234,315.0987559,415.039255,292.3529133,464.4682969,109.4400916,83.40638709,160.4308396,65.46047926,59.01351499,37.47419509,39.87392986,98.46524659,167.3564981,270.452029,359.1150195,448.5927717,181.1752608,57.8752828,93.57172929,174.6586873,169.8402026,105.9021136,50.04731276,216.7798099,366.5017828
76,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT MAROMENA,410.531658,301.7735416,376.5400113,85.91022664,54.23942737,87.57549886,122.2977508,59.13307768,37.18855634,30.27619841,203.6534393,248.8947362,401.0421713,409.4147684,306.2377176,94.38062966,105.5141887,71.22350553,58.89465813,99.19689441,39.61108702,46.95793191,163.5485234,329.9703189,421.3897107,289.2549775,459.8076749,103.1342584,74.74058253,158.71535,59.80714553,52.9745141,35.12012223,37.74072846,95.2565145,171.4870829,269.8614779,358.9980573,439.7496193,176.0904486,51.11772023,90.84624849,165.2651416,157.33571,103.5162174,47.26923532,214.5733037,387.4617525
77,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT ANDRANOFOLAHINA,391.7901855,289.6572943,353.8900909,80.53320404,52.24659637,82.18418945,112.7323347,55.23138302,35.46752766,30.49268938,196.0787437,248.1432245,383.4309351,386.7847714,290.9647919,88.67279457,99.64361099,67.43944351,55.85002205,90.23002968,37.2486364,45.42840557,160.149015,324.9913708,401.4211948,277.2286545,429.9075137,97.21943489,71.26193123,147.041142,56.62443531,49.2014397,33.35569359,37.30590874,94.77148087,172.2154633,261.9287808,342.3324222,414.3595538,160.405654,49.13025288,84.87559013,151.6308063,142.5111937,95.34524635,45.7411293,205.8593515,378.7816989
78,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT AMBORAKA,398.3951456,302.2191755,364.180605,87.19197934,55.72430638,86.20754569,116.4904348,59.07745886,38.33443328,31.8898086,197.0020431,250.6527384,390.7204611,397.5383083,302.55318,95.8387626,103.6521359,71.80441794,59.50742474,94.10361892,39.80347078,46.18313694,162.0061072,323.0546714,407.1850162,288.1873981,438.9628988,105.6249265,75.36074554,152.0697333,60.29809402,52.53710442,35.90800768,38.29979188,97.77433809,174.9103714,270.9125071,352.9315931,427.3882617,168.2716535,52.55959341,89.08023396,155.7903431,147.6792448,98.71999274,46.49828651,205.8767718,372.9311351
79,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT IFANADIANA,407.7509964,310.3419895,377.7452834,91.6768592,58.91625949,90.20054911,124.413711,63.15990443,39.60463209,32.42334166,201.9793841,250.1791007,399.621104,410.9312788,312.4082965,100.55172,110.2293348,75.03373801,62.94113274,101.6854897,41.38414682,47.8574882,164.4763312,323.6115991,416.9951558,295.9544744,455.911602,110.7132571,80.00599284,159.881514,63.83615797,56.37557234,37.16077506,39.21282711,98.84646367,174.1179841,275.4861564,362.7464511,442.6709926,178.7033112,55.71517567,93.54698705,166.7221753,159.6988606,103.0928646,48.17379012,211.3423971,374.5166604
80,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT ANTAFOTENINA,405.3927844,312.1273447,376.5608398,93.13567321,59.7997595,90.50037964,123.9653007,64.10072586,40.2120295,33.14378714,201.510849,250.6999269,397.7769666,409.7435782,313.2953248,102.1100463,110.4192946,75.86918802,63.80594312,101.7168497,41.73543438,48.08340908,164.9414771,321.4778812,414.0299616,297.1207684,452.582523,112.7288229,80.81343469,159.1655318,64.68544852,57.13228712,37.64320871,39.67342527,100.1817997,175.0595515,276.5497094,362.6071567,441.8744572,178.4007934,56.60843921,93.84209818,165.6311998,159.1979808,102.2364641,48.40134478,210.3205087,370.0747342
81,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT AMBODIRAFIA II,396.1613934,307.9396823,371.8904996,95.60464945,64.18478708,91.47827656,125.9421716,66.91020534,41.00388534,34.60164952,202.6223726,248.9012154,389.3213961,400.3215584,311.520419,104.5070215,116.0889191,77.78329632,66.43183766,104.3607681,42.29146927,49.53011339,165.7715902,315.0551658,403.8064847,292.1515712,443.9260244,115.8365507,86.26419754,159.2377949,67.35771861,59.70568209,38.28071622,40.9005202,102.3054209,174.4525708,273.485245,353.8511132,436.8273866,178.9115656,61.05281591,95.21908056,167.7050192,162.3233518,100.7184541,49.84629661,210.7312848,359.8943619
82,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT FENOARIVO I,392.48777,314.5037281,369.517241,97.82094063,61.40954095,89.22390313,118.4383032,67.78692682,42.60478638,37.31689304,198.1597242,250.6516902,387.2570606,396.4575834,316.1694273,107.1059037,106.5370397,77.48147734,66.11946309,100.4315707,42.90632656,50.00835136,166.3901784,308.8179315,398.326039,296.9941166,435.3938056,119.5958424,81.12014432,151.142952,66.89486464,59.99260313,39.48003403,42.68026984,105.9449659,177.6880311,280.0042387,355.3648241,436.3925406,173.0041073,58.37401715,92.39494782,155.9727665,154.5472583,97.25822775,50.3416625,204.3470719,346.552067
83,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT AMBINANINDRANOTELO,378.2555693,302.5043003,345.5346238,91.94121283,58.88393456,83.11007447,104.8649361,61.56964566,40.96972855,37.33884425,188.9199829,253.9066839,374.1611594,373.7610484,299.7308935,100.888692,99.76506244,72.80538464,60.40225243,88.25024552,40.62640787,47.77592377,162.108583,308.032138,382.8788501,284.9893439,404.2519913,113.1445548,76.93566305,138.2325124,60.99519953,54.09051784,37.81040909,41.86960674,104.8926858,181.1237286,275.3167243,339.0594041,409.8680116,157.1193636,55.80212727,85.42306173,136.6783289,135.0810464,89.76464059,48.11291344,193.7614793,341.9034609
84,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT ANKABOKA,381.197608,295.7766935,343.5010851,86.1814998,55.96966564,82.03739462,105.2273516,58.34240227,38.9609056,34.51687049,189.8459724,253.1068533,375.7344023,374.7023089,292.8511275,94.72476553,98.63563887,70.29288035,57.64890572,87.2824701,39.30514889,46.24148751,160.5483137,314.980272,387.4490697,280.1325489,407.1615493,105.4866277,74.11636258,139.8302791,58.27681039,51.44059814,36.16347834,39.75838979,100.9176494,179.0075548,269.949875,337.5257817,405.7908158,154.7861116,52.86461526,84.35604904,138.6224315,135.1314892,91.35694699,46.56793435,196.2753545,355.5490583
85,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,IFANADIANA,FKT AMBIABE I,391.3087881,308.8478419,360.7133144,92.69957553,58.44930464,87.2355184,111.5536271,62.68695303,41.08311299,35.30087487,194.1240539,252.9143742,385.8754685,390.3495678,308.0396327,101.7342012,102.2900849,75.15791164,61.60310183,93.35951561,41.40475241,47.24170872,163.7699252,313.371155,397.4690971,292.1524351,426.5001695,113.4283371,77.30031537,148.269161,62.29228129,55.34602988,38.10522136,40.52384248,103.5090036,179.0600315,278.0247244,351.001606,426.1116982,165.3434759,55.34468732,89.93730615,146.8963729,144.1790723,95.23063172,47.56816513,200.4692396,352.8183337
86,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT ANDRANOMAINTSO,355.2563513,217.3508166,349.8489489,57.51169165,45.0815117,71.37696264,123.4488995,43.68499049,27.16331731,20.38212437,240.8965855,236.2947525,344.7219437,337.4183097,258.3876835,59.80268837,103.9250538,56.41920247,44.19984733,95.3731013,31.76435564,51.50185443,151.4610647,332.5227396,365.4324322,198.8034067,436.813506,70.61564794,73.21760731,146.3051236,46.53238464,40.58114626,25.34177945,30.32993741,68.82906288,131.3101553,194.7795181,255.1715478,418.2589067,157.1000623,45.22722184,79.37036746,170.0181346,160.2900251,95.48279588,51.71252598,255.5800166,399.6168907
87,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT FIADANANA NORD,296.8375878,174.0643779,279.8875905,39.12797819,32.17652004,47.63307936,82.91894078,26.68488491,19.61215283,15.48422744,260.6694441,226.730252,287.9657451,286.668374,197.695037,38.57203533,79.70629757,38.09806184,25.53294034,66.42530331,24.02602777,53.71571376,142.8144842,321.2487533,304.3788507,152.4449572,350.1514873,50.26763234,57.51864871,102.9973647,27.64160699,25.11246496,17.88532752,25.92600745,53.86287648,106.1971721,147.1091556,198.0510089,342.4695164,125.1355711,33.77857351,55.41180577,114.2600388,114.8953744,75.02520095,53.88647176,275.5612099,385.6506894
88,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT MORARANO,300.6854212,176.913029,287.0642399,41.18061028,34.25077565,50.66359151,89.43266997,28.42733595,20.73758604,15.85014738,261.5639173,229.235582,291.8354149,290.1219462,203.3912439,40.4843874,83.88640216,40.70747111,27.84267886,70.0765221,25.34562283,54.15472213,143.4395814,323.0405893,308.1376941,154.880125,358.1549456,52.64522466,60.87622605,108.8187913,30.12912396,26.80086717,18.9200432,26.21781076,55.15296727,108.3178614,150.0969876,200.3593863,350.9762141,129.3684274,36.00947095,58.9187179,122.8226634,120.8411542,78.04325755,54.32041117,276.2542007,386.8374048
89,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMPASIMBOLA I,322.6474216,186.5386467,314.6965914,44.17705958,35.92565572,56.40020657,100.6963978,31.97648114,21.82235043,15.96671964,257.8971076,234.6704587,312.9217369,304.4854307,223.8219586,44.02495068,88.07067951,44.88931144,31.75557789,77.95279764,26.54648148,52.25875533,144.8451731,332.8692041,331.1522092,164.8558809,393.8911848,56.11705941,63.15606338,120.9510707,34.19831898,30.05570055,20.00783127,26.1809921,56.67614701,113.7431006,162.6766478,213.8724678,383.157547,137.6072508,37.39652814,65.04831294,138.8161623,134.1632843,82.65283304,52.43104453,272.951424,400.1217487
90,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT SAKAVANANA,332.9210943,191.7357698,327.4655974,45.54716433,36.73280457,59.97064865,106.5231041,34.46459157,22.3808105,16.24397182,255.8330634,236.0262191,322.7560632,311.4475116,233.8163378,45.80311303,89.79654989,47.45982704,34.04870033,83.04118938,27.10943319,51.27779936,146.3556438,335.8844045,342.025965,170.6268885,410.5011123,57.49523612,63.9140779,128.1603022,36.52859395,32.33883899,20.59965238,26.37967008,58.32439327,116.8882504,169.5005364,221.5335261,397.3325947,140.1805331,37.96151377,68.72048732,147.1015824,142.560061,84.7412361,51.4544291,271.1296176,404.5880968
91,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBODIARA NORD,324.2625081,188.4487182,319.5768285,45.40719952,37.25074511,58.34430318,105.2023957,33.48115361,22.49843735,16.12045038,257.113474,234.5970288,314.5587037,306.5137504,227.9050671,45.24595897,90.63702442,46.52276284,33.49879458,80.94760547,27.30902208,51.99400357,144.9254328,331.8117425,332.7396999,166.7024519,399.4240428,57.44470201,65.13935301,124.5166025,36.04189894,31.49798496,20.64491249,26.20504275,57.53704728,114.7321919,164.5182984,215.7228866,388.6511321,139.5802237,38.76572721,67.19881615,144.7849826,138.9786803,84.34770076,52.16263208,272.0223008,398.3672661
92,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBINANISERY,333.6109732,193.348057,333.7477383,47.17441222,38.08784474,61.78999409,111.9929403,35.75460344,23.15978502,16.0894356,255.0927631,236.3599414,323.5935375,313.5911394,238.5306487,47.17574867,92.38987284,49.18582012,35.92904321,85.89175831,28.0479614,50.92399006,145.0144165,334.5009463,342.4461005,171.5502988,417.2414641,59.47413574,66.23872992,131.5456187,38.59312853,33.62304331,21.28832621,25.9921805,58.21920377,116.8722561,170.1809472,221.9276741,405.222323,143.8591784,39.52083709,70.96994627,154.1788003,147.2379132,86.59138245,51.09143229,270.0047706,401.8116904
93,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT VOLOBE,314.7783065,180.3736122,298.7722632,41.11502667,33.41207634,50.82921677,88.32550822,28.72657985,20.19822947,15.69272976,256.8326274,229.6708186,305.0100812,295.6119076,211.9221966,41.34762141,83.22448523,40.0582311,27.5869823,70.62416454,24.60147717,51.55117237,145.4044341,329.0495896,323.5310982,160.0824195,375.7909422,52.44058821,58.93646493,109.902223,29.66528369,26.90066043,18.54859993,26.06629514,55.80753157,111.0974349,157.774344,209.1043978,363.5761923,130.7753819,34.56198011,58.45423942,122.4733859,121.9545915,78.41706745,51.73472605,272.402656,397.4468652
94,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT ANTENIMBELONA,344.0751139,199.9851912,344.2218892,49.18070043,37.95952818,65.28798514,117.5468479,38.12264667,23.62342534,16.58334329,252.3105832,238.0995707,333.6143717,322.5052327,247.1390032,49.63681369,91.67941115,51.6786143,38.31105287,90.35041148,28.47107332,50.45917545,146.3154961,337.9427016,353.5335185,178.750373,430.9360779,61.56851612,65.2466657,138.3799086,40.98492923,35.79294857,21.80367135,26.49679502,59.97702128,120.5430279,177.4855452,231.3397939,416.3328193,147.82256,39.09378348,74.46617042,162.0878733,154.4023661,88.13979187,50.63223029,267.4169949,406.7465074
95,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBOHINIHAONANA,343.758229,198.9009304,341.3700702,48.45481195,37.07000979,63.75030028,114.7335995,37.45653036,23.3667802,16.55593951,252.1113689,237.0228713,333.2162827,320.9957907,244.976903,49.04596665,89.88589747,50.3060222,37.32406477,88.89710648,28.16380072,50.29048848,146.7014943,337.3881226,353.3645253,178.0640618,427.9723486,60.69434173,63.72757797,135.3759471,39.90150981,35.12574687,21.58323818,26.52055684,59.91934258,120.115018,177.1572788,230.8823481,412.7324944,146.3143792,38.09538516,72.6182812,158.4523188,152.0314773,87.7553824,50.4672103,267.3859734,406.6642241
96,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT MAROVORAKA,342.9029427,197.5732861,336.7531967,46.51222467,34.9855032,61.03970814,108.9104853,35.66249704,22.6797595,16.29834676,249.753931,234.5992165,332.1426888,319.5014877,241.3554897,47.45496702,85.76390266,47.75440645,35.24580002,84.96623898,27.34119248,49.28098488,146.6796951,336.5641403,352.9069023,177.6423607,423.8154564,58.35252714,60.16997814,130.2974434,37.60730219,33.33435965,20.99263859,26.28770471,59.33126354,119.2025986,176.2728519,231.5017548,406.7441101,142.2316971,35.73694992,69.28098965,151.0498562,145.6024208,86.70832157,49.46548223,265.3705597,407.2448921
97,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT TSARATANANA,345.3582939,199.5776135,336.2976023,47.04678931,34.44161994,60.60004142,107.862184,35.86779503,22.73296381,16.59501337,247.0528336,233.4081653,334.3850194,321.9192324,241.5352472,48.33439622,84.49364104,47.1472038,35.14506121,84.91343604,27.33634263,49.06414682,147.0375705,336.0948571,355.7360439,180.3644053,424.0026731,58.82235386,58.86535666,129.2226856,37.3951505,33.46278593,21.10294289,26.65800031,59.98050004,120.1759504,178.4752285,235.4132962,405.2400292,143.2361402,34.97608545,68.44573593,149.8777014,145.348409,87.24360713,49.25515486,262.8329716,407.5278665
98,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT TSARARIVOTRA,348.0386004,201.6753831,338.6112991,49.05734562,35.55949257,62.20408649,110.472799,37.22799537,23.37794186,17.10979226,246.5650482,234.0328805,337.0251755,324.1714042,243.8393758,50.42518707,86.64861843,48.44548525,36.3325604,87.44975499,28.0481363,49.79907699,147.5350662,336.332925,358.4769912,182.5355617,426.5004999,61.10262934,60.4330764,132.0702224,38.61859294,34.75400234,21.72323218,27.27283114,60.99622,121.6538791,180.9595402,237.787113,407.4694897,147.5890961,36.08027031,70.13425591,153.3293573,149.3488537,88.95208341,49.99148741,262.2799189,407.52224
99,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT BEFOTAKA,347.7329712,201.3612671,336.6334229,48.09001541,34.53334045,60.7282753,108.3334122,36.58511353,22.98484421,16.96805191,245.8277435,233.0084839,336.6417236,323.8980713,242.3052368,49.57164383,84.48701477,47.14484787,35.55885696,86.05545044,27.57884789,49.30121613,147.5819702,335.7937927,358.313324,182.5297546,424.5895996,59.92998123,58.6968689,129.1749878,37.76848221,34.11183548,21.37524605,27.11148834,60.81080246,121.2379303,180.640274,238.1987457,404.9458313,145.3361664,34.95908356,68.37659454,150.5805664,147.0751953,88.02295685,49.49594879,261.6697998,407.423584
100,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBOHITSARA,346.7083825,201.7099188,343.2234325,50.40829103,38.00330949,65.80244946,117.1772095,38.49279376,23.95952111,17.18297858,249.4782904,236.4223961,336.0064049,324.0167732,247.2071875,51.32490042,91.72144243,51.7496438,38.60585782,90.37076834,28.77067464,50.68813787,147.2433688,336.9652764,356.6130039,181.5007349,430.5582442,62.79315765,64.73718664,139.1651727,41.15261531,36.06624389,22.19541497,27.27765908,61.15495525,121.922097,180.2526128,235.2686483,413.7887519,150.3183742,38.85574153,74.57964557,161.9378174,154.1437488,89.64697279,50.87055775,264.8123916,406.5744569
101,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT FASINTSARA,345.2523875,199.3043691,339.4546805,48.70400034,36.4715163,62.93027522,112.395325,37.26283726,23.41111699,16.81745082,250.3849607,235.7541591,334.526171,321.2154793,243.8893691,49.60786201,88.66281854,49.39086645,36.69886309,88.12684705,28.16947311,50.2762351,147.2532688,336.9164646,355.184546,179.1905577,426.4034391,60.88414263,62.43782726,133.6778718,39.14537414,34.87910294,21.67437172,26.90174632,60.37311336,120.6014916,178.4782445,232.8141663,409.6861876,146.9793139,37.29060626,71.3975331,155.5599933,150.6581485,88.44280477,50.45993451,265.8668316,406.9716256
102,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBATOMANJAKA,349.2099681,204.2490091,344.0072612,51.6107029,38.22405713,66.34070063,117.1555741,39.17037454,24.33080042,17.58072826,247.9762437,236.4443758,338.392627,326.7772489,248.534622,52.81833421,91.93307855,52.04844016,38.99346549,91.1322501,29.11723263,50.63765028,148.0904067,337.2825442,359.344717,184.5113044,431.7676303,64.09137264,64.65530445,139.8754692,41.46688279,36.64634913,22.58552123,27.70159637,62.25530966,123.5356168,182.8337161,239.1563439,413.9328632,152.4406463,38.9119542,74.89141202,162.0161347,155.1624295,90.74231606,50.8251829,263.3775739,407.262792
103,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT TSARAKIANJA,351.5095499,204.9509494,340.3388158,50.59705755,36.05534779,63.46584873,111.4713192,38.16413625,23.87406763,17.6757205,245.8241035,234.9905166,340.4341478,327.458876,246.1792541,52.22981972,87.16950417,49.42810709,37.21266952,88.4795388,28.50652275,49.93998272,148.8968979,337.1535707,362.1008472,186.1458234,428.430293,62.79776955,60.7243264,134.0038442,39.45654179,35.57717175,22.22155626,27.83503489,62.6509924,123.9931368,184.5629851,242.1017906,408.7948111,149.7795771,36.44225538,71.2752127,154.6444706,150.6977026,89.91659556,50.13736451,261.5223995,408.3589878
104,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT SAHAKONDRO,353.7466115,207.3437479,340.5652989,51.84016588,37.12909252,64.17026693,111.567304,38.89022212,24.31580195,18.39056269,244.8172798,235.3423751,342.6569807,329.0814844,247.5679365,53.78154386,88.97766989,49.97770496,37.8650338,88.85708705,28.87534681,50.2814123,150.357223,337.0802859,364.4609146,189.0338471,428.492476,64.14317773,61.89697699,134.6909813,40.03645095,36.17929086,22.6715208,28.5839987,64.41664258,126.1578855,187.7052423,245.4875041,408.3084859,150.8615844,37.35478614,71.7496611,154.7251724,150.9169286,90.58000851,50.48636948,260.4864082,408.1187595
105,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT MANAKANA SUD,353.4624023,210.8743744,344.532196,55.34675598,42.19720078,67.74002075,116.6713867,41.59499741,25.81246948,19.71461868,244.9390869,237.0952301,342.7081909,330.7883606,252.5646667,57.4761467,99.07529449,53.18052292,40.72171021,92.78936005,30.40180016,51.68315887,152.253418,336.3251343,363.8441467,192.5477905,431.6940308,68.20317841,69.40014648,140.4194031,42.96213531,38.66677475,24.07107162,29.92307663,67.34733582,129.5449066,190.8498535,248.4736481,412.4891968,155.6856537,42.39927673,75.52992249,161.2011719,156.7392731,93.2086792,51.89389801,260.201355,405.545105
106,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBODIARA SUD,353.6590139,209.26711,345.2086303,53.66441707,38.83761825,66.79059472,116.1758979,40.46138441,25.05561669,18.5194563,245.9965026,237.093645,342.732757,331.5210783,251.2491243,55.4458204,92.41674937,52.29323429,39.61047788,92.13799649,29.73667959,50.63168787,150.4091473,337.9045116,364.1084171,190.3555275,433.2939905,66.331183,64.68324035,139.7107992,41.92303211,37.71124887,23.3333624,28.63701394,64.90861985,127.0667046,188.1366936,246.4205799,414.0592801,154.8115398,39.20159233,74.82703129,160.7360292,156.2617586,92.25033374,50.83114565,261.4383435,408.1328388
107,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMPASINAMBO,301.5370373,175.0587343,284.56157,39.18336735,31.79935113,47.54856535,83.14929799,26.73539477,19.41868611,15.36584969,259.5996463,226.8975543,292.395381,288.3787567,201.0064596,38.85672286,79.1691077,37.84036787,25.62229884,66.53545346,23.77140595,52.91117677,143.280978,322.9462251,309.4351473,153.8307628,356.7783718,50.33147673,56.76204567,103.0183315,27.694526,25.11722262,17.73633203,25.79331888,53.88547918,106.7786246,149.4915662,200.4011471,347.8058363,125.8829955,33.24534428,55.16055917,114.8856788,115.1402101,74.946428,53.08618406,274.7305983,388.5914682
108,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBODIVOANGY,335.7621107,191.2596176,323.9127192,43.32931167,33.14672935,55.98871386,98.55061471,32.11208415,21.35211033,16.01366907,250.0756483,232.7285643,325.0554657,311.3108759,231.0455036,44.30927926,82.51467764,43.58784163,31.36066496,77.61691546,25.83766618,49.63553047,146.1729732,336.0509086,345.7600675,171.843405,408.9494801,54.75049829,57.54486251,120.6067961,33.49669594,29.95003739,19.74546549,26.25392073,57.55312043,116.5156089,170.7007482,225.1236045,391.9256186,135.8529258,33.82583392,63.64662457,137.1911907,133.6019156,83.38396287,49.82824731,265.9749422,407.7539916
109,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,FASINTSARA,FKT AMBALAPAISO,334.801653,192.1318287,327.4493913,45.17275826,36.06421437,59.50530061,105.1408748,34.18952102,22.17353198,16.30008034,255.0304832,235.6740707,324.4744133,312.1608654,233.7936568,45.6114403,88.49912907,46.91175933,33.5939551,82.3938327,26.84736234,51.17463377,146.6884024,336.4843704,344.1501599,171.3892877,411.1526909,57.01921377,62.69328272,127.3709135,35.99978873,32.03598797,20.43309353,26.51381514,58.353872,117.0984915,170.4791358,222.9686368,397.0083719,139.5194695,37.15876729,68.04918977,145.4651707,141.5159973,84.52342698,51.35596905,270.499511,405.9903907
110,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,ANTSINDRA,FKT AMPITOMITA,385.0849511,258.9603722,377.8346113,70.51653461,49.00031228,81.35805275,133.4612097,56.01069818,33.16762138,26.59469841,232.1129055,231.9516019,374.7690719,381.1099355,290.0293574,74.6831557,104.3946029,65.57264916,54.19451487,109.6545913,37.39185803,55.07433379,158.7672843,316.9695792,395.5093997,241.0116776,466.1072312,85.19598893,74.37937794,158.1997859,56.23522501,51.54633615,31.14761783,36.36212053,81.46476649,141.6258768,228.1177012,303.4735422,447.0551653,168.902507,48.21560528,88.44893908,181.9635091,179.6702963,104.3275149,55.33133842,245.3807203,376.6301743
111,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,ANTSINDRA,FKT ANIVORANO,361.6884528,224.4621472,350.208086,60.70624621,46.76813729,71.74806494,120.883198,45.49685488,28.00717426,21.3684538,234.9650892,236.8515701,351.1412374,342.7160609,261.7983927,63.86757622,105.8358884,56.72479642,44.95212571,95.97145675,32.32839363,50.17153116,152.9210431,331.8146266,372.1555899,207.0851167,436.7609218,74.23709042,74.27924528,145.0711657,47.02888525,41.99890122,26.21262331,30.96033074,72.03544215,136.1131286,203.2100633,265.0406713,417.1350842,159.815298,46.40085544,78.94773108,166.3966815,160.2917135,96.03860765,50.39624131,249.3162433,398.3242559
112,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,ANTSINDRA,FKT KIANJAVATO,365.0596533,229.6438062,359.0709725,62.7220427,48.61041779,77.01341644,129.6520212,47.35381348,28.31579882,21.90217679,235.2197593,236.1256775,354.638665,349.6635387,268.9255428,65.66059839,108.8321619,61.34810992,48.58891585,99.35143363,32.66429968,51.38631895,152.2545106,328.5273424,375.2632418,211.2910211,446.2808013,76.56109016,77.05069762,154.9009026,50.88710545,43.8349653,26.47051376,31.51997426,72.4817955,135.8195918,205.9336182,269.2049262,427.8183923,163.0227428,48.44372233,84.97866162,177.8933108,165.5130751,95.4947898,51.60609488,249.1930542,393.060058
