OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,p_2014_01,p_2014_02,p_2014_03,p_2014_04,p_2014_05,p_2014_06,p_2014_07,p_2014_08,p_2014_09,p_2014_10,p_2014_11,p_2014_12,p_2015_01,p_2015_02,p_2015_03,p_2015_04,p_2015_05,p_2015_06,p_2015_07,p_2015_08,p_2015_09,p_2015_10,p_2015_11,p_2015_12,p_2016_01,p_2016_02,p_2016_03,p_2016_04,p_2016_05,p_2016_06,p_2016_07,p_2016_08,p_2016_09,p_2016_10,p_2016_11,p_2016_12,p_2017_01,p_2017_02,p_2017_03,p_2017_04,p_2017_05,p_2017_06,p_2017_07,p_2017_08,p_2017_09,p_2017_10,p_2017_11,p_2017_12
52,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT MALEMIAMBO,351.7170619,211.9759784,355.2451538,54.96320255,44.77216577,72.79400868,131.511971,44.01498087,26.42395187,19.06181644,248.8268432,237.0244697,341.3003004,335.3198179,258.7673322,55.82761389,104.4884844,58.00171223,45.1671476,99.85023379,31.39845561,53.22105342,148.7025008,333.0019826,361.2651687,191.0513253,442.5642536,67.70845164,74.71146765,150.8801152,48.01355149,41.36046651,24.52095221,29.24148274,65.03555531,125.8793905,187.4114116,244.9699804,426.964876,155.5316245,45.80648312,82.26555372,180.5064662,168.649266,94.08554465,53.40082996,263.5094625,399.3001727
53,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT AMPASIMADINIKAKELY,348.6393555,208.4163497,346.9441153,54.15444365,42.68543476,70.04474208,124.4066368,41.69109455,25.46630974,18.44309206,248.1218383,237.4322087,338.1069717,330.1854353,252.4501108,55.41709745,100.6745052,55.35343456,42.46437609,94.97263354,30.26819473,51.22217893,149.5536123,335.8302537,358.4766055,188.5221851,433.7674649,66.8814278,71.2890587,145.9873901,45.07349265,39.02943733,23.6544596,28.44477548,64.81234544,126.2859475,185.3440941,242.8656756,416.7722981,155.0279955,43.42965926,78.89903151,171.4125196,160.826869,92.29359528,51.4084259,263.1749236,404.0414816
54,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT AMBALAVOLO,360.2800986,214.0756822,376.5933803,57.48541664,47.78580553,79.15740562,144.4226053,48.57687246,28.60041652,19.23590545,255.2020276,241.0910773,349.9280178,341.0089002,272.838195,57.27877192,110.9579181,63.99526257,48.92692097,111.6458281,34.19380307,56.77250499,147.3598064,335.6567278,369.2898665,190.6041217,466.8426092,71.07378659,80.81296893,164.0186518,52.3313386,45.96177513,26.42017264,29.7778949,63.48458213,124.3072444,189.5725552,243.1770608,454.8131382,163.7907454,49.61673109,90.51246055,197.0550132,188.7290678,100.3817183,56.93536253,269.4782274,400.3776485
55,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT AMBOHITSARA EST,369.6905083,227.4688071,385.9458134,61.54348753,50.39664205,82.26606079,147.7071251,52.70428314,31.06835072,21.79433581,251.8818541,238.368744,359.1760775,356.3134842,283.1417135,62.1057985,114.4151314,66.49098837,52.22630693,116.7875866,36.67293432,59.30297887,150.6001771,330.4883557,379.1257601,204.6707852,477.6733099,75.27655078,83.06336666,167.745442,55.4685774,49.70502006,28.85800173,32.70131073,68.10244953,128.3626329,200.0114477,259.9839547,463.3707492,167.7735976,51.77716413,93.03677453,201.3264249,195.7460636,105.9948984,59.48651023,266.0714714,393.8748049
56,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT ANIVORANO,369.1841857,226.6243351,385.340144,64.70067914,53.82175954,86.43867902,152.6826441,54.87918692,32.3761484,22.23082483,255.8652523,244.0953226,358.8853206,353.5710108,283.5239071,65.05193475,120.6884916,70.3416837,54.65358222,120.4177511,38.1192555,59.94317596,152.8110238,336.3617843,378.3135901,203.6733643,475.4373459,78.88810637,88.2705509,174.9560413,58.03827926,51.86035629,30.08291409,33.05179034,70.0829884,132.1292229,200.9917243,257.5816888,462.4693235,173.585949,55.42770215,97.83703746,207.4001537,201.1181011,108.3464358,60.11999707,269.9542532,399.7130598
57,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT MAHATSARA,364.2237786,225.0984746,372.488917,59.89246418,46.98657115,78.18858702,139.3081166,48.86426432,28.74411088,20.68116787,246.1791353,234.2073541,353.6490263,351.9406234,273.6497392,61.16892619,107.73111,62.55766105,49.24295803,108.1184655,33.85387635,54.98709771,149.8457187,327.0596564,374.0089241,203.7719312,462.8994391,73.44875289,77.19770568,160.1820603,52.14882602,45.80962381,26.72869131,31.02822424,67.56120209,127.3008409,197.5860008,260.155314,446.6224475,164.2828069,47.84115794,87.90215494,190.8104886,181.6299574,99.79088664,55.17932669,260.5373442,391.2904098
58,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT SAHOMBY,356.6931553,218.8202129,356.2189045,57.44350412,44.92194157,72.77916945,128.8624543,45.06845161,27.56969998,20.2978825,244.6814378,235.2940825,346.1684255,341.4750736,262.077606,59.22522079,103.6875008,57.781657,45.64992656,99.41137803,32.39550695,52.88577005,151.1573629,330.4978726,366.6624983,199.1097998,444.0806853,70.55819679,73.54907406,149.495726,48.21412343,42.04915947,25.67309694,30.43281481,68.04041922,128.9109904,194.0226086,255.1845347,426.586134,158.1628448,45.39826623,81.39829384,177.1317957,167.2129804,96.89696869,53.08758922,259.3588786,396.6406392
59,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT AMBODIMANGA,367.0388017,221.8152991,387.7285684,60.90862215,50.37141977,82.9240564,150.9803672,52.48395128,30.72716166,20.6260638,254.780949,239.9523369,356.6089057,350.8856188,282.3882092,60.78923375,115.3781606,67.2557003,52.17034509,118.6829127,36.54886544,59.06774844,148.6131642,332.6505806,376.1442685,198.0530211,479.6480637,74.84413806,84.26274721,170.2971579,55.67259628,49.69274046,28.44919296,31.46695408,65.58448357,125.9026004,195.4434413,251.731703,467.1598815,169.70641,52.20134809,94.53050627,205.5727584,199.6805674,105.8398384,59.23454043,268.9204542,396.1366313
60,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,MAROHARATRA,FKT AMPASIMADINIKA,363.6084402,220.9860379,374.1957803,57.26635537,46.47132244,77.0764606,139.7622465,48.18044982,28.1769658,20.30508195,249.7908532,236.5643909,352.9918454,348.9108129,272.9462219,57.9172595,107.5243283,61.76809189,48.33034702,108.7341014,33.44404122,56.64181089,148.6943716,330.7870107,373.2264877,198.8044927,465.0297961,70.40017885,77.3843636,158.9925372,51.39985891,45.37063127,26.14468048,30.9843345,65.57427622,125.7544826,194.3141689,254.0659198,449.7978365,160.4325603,47.6892549,87.24232833,191.3112098,183.2448361,98.92972197,56.82439025,264.2582611,395.7380659
61,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT SAHAVATANA,372.6401793,285.8093128,330.6959427,82.61740478,54.01335822,77.57060533,100.6822856,55.98894628,36.76334296,34.55506393,187.202209,251.125939,367.30249,361.7601626,282.0881815,90.91734146,95.3328868,66.30764926,55.08294619,83.67391332,37.04240329,46.05646534,158.9616142,312.8034575,378.7912698,270.8268538,392.2773235,101.2237928,71.4886465,132.1774609,55.66050388,49.28106486,34.12233408,39.78684174,99.77087108,177.6243526,263.9659513,326.6797384,390.8669509,148.4293808,50.9190482,79.56551358,132.5211128,129.6686664,86.40575533,46.38811904,193.5602599,353.2220192
62,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMBODIVOANGY,348.3865938,235.4638582,305.4469981,63.44288211,42.64159614,65.36059592,96.44246657,45.00975285,28.51666846,27.84905176,196.3636323,233.7921112,339.4764967,326.8292293,244.4659087,69.94216838,86.52385245,52.02777268,44.06269725,78.74148673,30.79032665,45.45751269,155.0931972,317.1946382,358.5876617,226.0760154,377.1305784,76.3323921,59.96025565,121.373186,44.83051188,40.28044786,26.98887546,35.75690093,86.60470717,157.7316485,222.4218638,284.3716083,357.1262965,137.2812552,40.02584809,67.81231399,131.4214035,126.5740992,84.76165263,45.76712903,208.0020746,376.8051269
63,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMBOHINIHAONANA,401.3350584,287.3500425,365.1697391,78.77119946,49.97099546,82.97235328,117.0114252,54.66524254,34.25210221,28.62254687,202.2666919,244.7033944,391.4077531,395.5514893,294.0033524,86.63205906,99.61116344,66.62922021,54.60483132,94.09049543,36.8523213,45.84647351,160.6715089,328.9268795,412.6896445,275.8232863,448.8434401,94.48766514,69.65104896,152.5452925,55.51835275,49.01928592,32.42182491,36.33113401,91.48997903,166.814898,259.2241339,344.931479,426.3370522,166.7066961,47.02046213,86.1426841,158.8953093,150.3056894,99.16680439,46.15187324,213.8417947,389.0896916
64,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT KIANJANOMBY,375.7814406,261.8466273,334.3894631,70.626365,46.43585977,74.71328745,105.4275532,49.3983896,30.78462919,27.7338643,196.2527223,240.0645473,366.3676362,360.7846197,269.0377065,77.88990567,93.09966466,59.7057619,48.98686133,85.19063851,33.10741599,44.27703697,156.6565216,323.8863831,386.6189707,251.7231519,411.8776109,84.82539123,64.74383244,137.6725782,49.78146866,44.19441755,29.14477372,35.27864645,88.77653287,163.6361493,242.2761232,315.6408262,390.4618575,150.2724685,43.54414697,77.35246814,143.358863,136.3508636,89.95573143,44.58022803,207.6733969,383.8268482
65,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMPITAMBE,387.9733333,279.0580942,347.9860647,75.85811093,49.67295476,79.35760839,109.7266217,52.10446769,32.83302312,28.90226324,196.2918296,244.4873489,378.8488657,378.9417227,282.8145326,83.65403988,97.37310691,64.1090631,52.53730302,87.59741532,34.939862,44.5802531,158.7834196,325.7531313,398.5172416,268.0241583,426.1665649,91.23859145,68.45910484,144.2205698,53.31304761,46.52004533,31.01148751,36.1223004,91.8800864,168.4277227,254.4620968,333.8741841,406.5403475,156.5334714,46.58583169,81.97800446,148.5086505,139.3194958,92.52207726,44.88809033,207.0685296,383.4625156
66,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT MANDRIVANY,378.7886359,267.7985932,337.212949,72.42275778,47.71500336,75.63553288,105.6511686,49.85617424,31.26944418,28.3714879,194.9582532,241.7919721,369.6351718,365.6039561,273.0328438,79.94476668,94.4504311,60.77098634,49.98411455,84.62897537,33.39274238,44.24364405,157.2313303,324.005841,389.3759448,257.4233987,414.1135767,87.10415957,66.02950745,138.2226132,50.73842879,44.50770076,29.56023076,35.70517423,90.16423339,165.9413991,246.7968983,321.702861,393.9143679,151.3382346,44.69385216,78.1149033,143.2890872,134.9953568,89.53784807,44.55122888,205.9560547,382.5587156
67,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMBODIPAISO NORD,383.5595298,276.6887761,343.0124767,74.57673941,49.54041018,78.05187895,107.4792888,51.00763056,32.23739172,29.00053596,194.1414219,243.9588604,374.7098924,374.0473103,279.637993,82.30733739,96.58487655,63.1828333,51.88305968,85.09311972,34.17591445,44.17905963,157.9436888,323.9876584,393.8173554,265.7403278,419.5343684,89.80086907,68.04670466,141.3191239,52.61923015,45.47025027,30.4217938,36.05127008,91.87054615,168.569865,252.8253386,330.6006912,400.8992895,152.6431692,46.41806964,80.50060428,145.2860111,135.1557651,90.00787789,44.48765229,204.6200789,380.6670115
68,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMBODIPAISO SUD,381.1451843,282.2140808,341.7480713,77.29011688,50.60062256,78.91578979,108.5083984,53.62098694,34.90351486,31.00647469,193.2675568,247.6922607,373.431897,373.5349854,282.6910706,85.13475952,95.35651855,65.15734253,54.61741486,86.34391785,36.38995972,45.29358673,159.0150421,321.8955627,390.0449951,269.7219727,413.6996887,93.56877899,68.66402435,140.1282593,55.3380394,47.65027008,32.74991989,37.54824066,94.98872375,172.4773499,257.2477356,331.9049622,400.7675354,151.4121399,47.5754364,81.36976166,145.5002014,136.0096375,91.89646912,45.60919418,202.4412872,373.3878235
69,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT KELILALINA,376.6356217,271.8133736,334.0947904,73.66405264,48.67055685,75.38030903,104.2261547,50.54797833,32.1932211,29.62802471,191.9336469,243.7917918,368.287084,364.6380694,273.8015627,81.35855639,93.96466324,61.32035568,51.00982036,83.25817905,33.89405646,44.30149976,157.2886891,321.7434677,386.3374929,260.7839681,407.5141194,88.94518949,66.54506553,135.6141677,51.69877372,44.94653735,30.31480996,36.49319576,92.20212861,168.9635984,250.2894109,323.5592532,391.017303,148.6811347,45.57395488,77.60388282,140.5325758,131.9683645,88.28430527,44.61562344,201.9193047,376.5886325
70,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT ANDRANOMAINTY,378.6003965,279.8865278,338.3199789,76.27766234,49.96255651,77.94628387,107.0413482,52.98123606,34.60811316,31.09200506,192.545352,247.350934,371.0168118,369.7920603,280.1955332,84.04288733,93.95415734,64.41415484,54.03805019,85.0619057,36.02450437,45.21936864,158.7198968,321.0299367,387.3588625,267.4473661,409.3176838,92.40755371,67.72474184,138.2025887,54.74117753,47.0485512,32.45763976,37.57660297,94.96187473,172.3533684,256.0004814,328.935755,396.8852029,148.9502695,46.96111988,80.32121987,143.4436924,133.9348772,90.77458329,45.53591774,201.6014632,372.0707408
71,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT ANOSY,372.656669,275.7395336,328.9976546,76.83879229,50.85885826,75.37904843,101.352101,52.12216616,34.17551173,31.40086034,189.5181533,246.5294936,365.6527969,360.5655972,274.4028823,84.75312728,94.38889039,62.64928854,52.06715621,82.2717623,35.26274277,44.55735755,157.8574978,317.3603594,380.7834691,263.1408672,396.6113133,93.42553725,68.5142175,132.4869985,52.69507856,46.11909703,31.96905985,37.51468786,95.35771246,172.4304072,254.6997433,322.5628528,386.721891,147.3008621,47.74745634,77.44187462,135.286667,129.1961212,87.63613752,44.87669788,197.9248546,365.9012641
72,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT FOTSIALANANA,379.0541122,285.5865483,336.7380683,81.49962306,53.08321363,78.82639423,104.4850203,54.72927412,36.3383954,32.67228208,190.3018471,248.6403027,372.5178521,369.3905327,282.9904873,89.75628643,96.75803638,66.24027028,54.89191863,84.81089606,37.20469605,45.46264628,159.2358909,316.2473598,386.6002637,271.7794727,403.5326351,99.30984746,71.09526069,137.0881615,55.53487719,48.37971818,33.89960003,38.52848269,97.5747376,174.5766299,262.2945141,331.0940706,396.4873667,152.7140473,49.95833214,81.03649217,138.8376133,132.5249324,90.28974944,45.78578247,198.0454889,361.9419656
73,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,KELILALINA,FKT AMBALADINGANA,375.2279222,288.2000765,334.2237339,83.38740818,54.39041331,78.77959763,102.0757344,56.47354232,37.27238258,34.42635603,188.0636422,251.4958588,369.7691033,365.4677083,284.7348546,91.74095573,96.18937559,67.29618449,55.69165961,84.65166084,37.61242132,46.08974738,159.3494072,313.6777982,381.5084263,273.1450463,396.6947324,102.0996688,72.0600583,134.4586151,56.28663974,49.7455378,34.60823955,39.71145828,99.87516693,177.7849436,265.3109978,329.6276054,394.8683774,150.2790611,51.29391866,80.8719154,134.4846666,131.2350246,87.91920907,46.41966649,194.5420536,354.5360583
