"","OBJEC","LIB_F","Date","Precipitation"
"1",0,"FKT ANTARALAVA","p_2014_01",380.3741075
"2",1,"FKT SANDRASATY","p_2014_01",373.4090816
"3",2,"FKT AMBOHIMITA","p_2014_01",387.5911394
"4",3,"FKT ANALAMARINA","p_2014_01",386.194465
"5",4,"FKT AMBALAFATAKANA EST","p_2014_01",383.6921493
"6",5,"FKT AMBALAFARY","p_2014_01",385.8956546
"7",6,"FKT MAROFOTOTRA","p_2014_01",386.495467
"8",7,"FKT AMBOHIMASINA","p_2014_01",391.6471651
"9",8,"FKT BEFARY","p_2014_01",386.9584663
"10",9,"FKT AMBATOHARANANAKELY","p_2014_01",388.5160103
"11",10,"FKT AMBODIRAFIA EST","p_2014_01",395.5328482
"12",11,"FKT AMBATOHARANANA","p_2014_01",399.7173964
"13",12,"FKT SANDRAKELY","p_2014_01",399.1651661
"14",13,"FKT AMBOHINIHAONANA","p_2014_01",396.3773153
"15",14,"FKT AMBODIMANGA EST","p_2014_01",406.260327
"16",15,"FKT AMBOHITSARA I","p_2014_01",403.1923735
"17",16,"FKT SAHOFIKA","p_2014_01",407.928874
"18",17,"FKT ANDRORANGAVOLA VATOFOTSY","p_2014_01",373.110217
"19",18,"FKT TSARATANANA","p_2014_01",402.5031397
"20",19,"FKT AMBODIGOAVY","p_2014_01",403.5418382
"21",20,"FKT AMBODIMANGA OUEST","p_2014_01",386.5515675
"22",21,"FKT VOHITRARIVO","p_2014_01",394.0982424
"23",22,"FKT AMBOHIPO","p_2014_01",363.9716746
"24",23,"FKT RANOMAFANA","p_2014_01",298.1396202
"25",24,"FKT AMBATOLAHY","p_2014_01",283.9801308
"26",25,"FKT TSARAMANDROSO","p_2014_01",336.2999307
"27",26,"FKT VOHIMARINA","p_2014_01",354.7602481
"28",27,"FKT MENARANO","p_2014_01",344.6936077
"29",28,"FKT AMBODIAVIAVY","p_2014_01",360.2670231
"30",29,"FKT AMPASIMPOTSY","p_2014_01",356.3722378
"31",30,"FKT SAHANDRAZANA","p_2014_01",363.7229995
"32",31,"FKT MAROTOKO","p_2014_01",368.5980125
"33",32,"FKT AMBALAVIA","p_2014_01",376.8377486
"34",33,"FKT AMBATOMITRATRAKA","p_2014_01",368.8500974
"35",34,"FKT AMBARIJATSY","p_2014_01",374.681249
"36",35,"FKT AMBOHIMAHAVELONA","p_2014_01",369.703295
"37",36,"FKT AMBOATROTROKA","p_2014_01",369.9230018
"38",37,"FKT MANDIAFASINA","p_2014_01",372.4041069
"39",38,"FKT AMBODIARA SUD","p_2014_01",367.9917154
"40",39,"FKT MANAMPANDRANA","p_2014_01",368.5341142
"41",40,"FKT KIANJANOMBY","p_2014_01",369.6930868
"42",41,"FKT MALAZAMASINA SUD","p_2014_01",372.9757046
"43",42,"FKT MALAZAMASINA NORD","p_2014_01",323.5843016
"44",43,"FKT ANTANJOMANGA","p_2014_01",344.4405992
"45",44,"FKT BETAMPONA NORD","p_2014_01",347.3047024
"46",45,"FKT AMBINANINDRANO","p_2014_01",354.4368177
"47",46,"FKT TANAMBAO OUEST","p_2014_01",350.8905856
"48",47,"FKT MANAKANA","p_2014_01",344.8747467
"49",48,"FKT AMPASIMPOTSY","p_2014_01",347.2021682
"50",49,"FKT MAROHARATRA","p_2014_01",353.8797316
"51",50,"FKT SOANIERANA","p_2014_01",354.4125743
"52",51,"FKT MALEMIAMBO","p_2014_01",351.7170619
"53",52,"FKT AMPASIMADINIKAKELY","p_2014_01",348.6393555
"54",53,"FKT AMBALAVOLO","p_2014_01",360.2800986
"55",54,"FKT AMBOHITSARA EST","p_2014_01",369.6905083
"56",55,"FKT ANIVORANO","p_2014_01",369.1841857
"57",56,"FKT MAHATSARA","p_2014_01",364.2237786
"58",57,"FKT SAHOMBY","p_2014_01",356.6931553
"59",58,"FKT AMBODIMANGA","p_2014_01",367.0388017
"60",59,"FKT AMPASIMADINIKA","p_2014_01",363.6084402
"61",60,"FKT SAHAVATANA","p_2014_01",372.6401793
"62",61,"FKT AMBODIVOANGY","p_2014_01",348.3865938
"63",62,"FKT AMBOHINIHAONANA","p_2014_01",401.3350584
"64",63,"FKT KIANJANOMBY","p_2014_01",375.7814406
"65",64,"FKT AMPITAMBE","p_2014_01",387.9733333
"66",65,"FKT MANDRIVANY","p_2014_01",378.7886359
"67",66,"FKT AMBODIPAISO NORD","p_2014_01",383.5595298
"68",67,"FKT AMBODIPAISO SUD","p_2014_01",381.1451843
"69",68,"FKT KELILALINA","p_2014_01",376.6356217
"70",69,"FKT ANDRANOMAINTY","p_2014_01",378.6003965
"71",70,"FKT ANOSY","p_2014_01",372.656669
"72",71,"FKT FOTSIALANANA","p_2014_01",379.0541122
"73",72,"FKT AMBALADINGANA","p_2014_01",375.2279222
"74",73,"FKT AMBODIARA","p_2014_01",394.3069271
"75",74,"FKT SAHAFITOROKA","p_2014_01",405.363291
"76",75,"FKT MAROMENA","p_2014_01",410.531658
"77",76,"FKT ANDRANOFOLAHINA","p_2014_01",391.7901855
"78",77,"FKT AMBORAKA","p_2014_01",398.3951456
"79",78,"FKT IFANADIANA","p_2014_01",407.7509964
"80",79,"FKT ANTAFOTENINA","p_2014_01",405.3927844
"81",80,"FKT AMBODIRAFIA II","p_2014_01",396.1613934
"82",81,"FKT FENOARIVO I","p_2014_01",392.48777
"83",82,"FKT AMBINANINDRANOTELO","p_2014_01",378.2555693
"84",83,"FKT ANKABOKA","p_2014_01",381.197608
"85",84,"FKT AMBIABE I","p_2014_01",391.3087881
"86",85,"FKT ANDRANOMAINTSO","p_2014_01",355.2563513
"87",86,"FKT FIADANANA NORD","p_2014_01",296.8375878
"88",87,"FKT MORARANO","p_2014_01",300.6854212
"89",88,"FKT AMPASIMBOLA I","p_2014_01",322.6474216
"90",89,"FKT SAKAVANANA","p_2014_01",332.9210943
"91",90,"FKT AMBODIARA NORD","p_2014_01",324.2625081
"92",91,"FKT AMBINANISERY","p_2014_01",333.6109732
"93",92,"FKT VOLOBE","p_2014_01",314.7783065
"94",93,"FKT ANTENIMBELONA","p_2014_01",344.0751139
"95",94,"FKT AMBOHINIHAONANA","p_2014_01",343.758229
"96",95,"FKT MAROVORAKA","p_2014_01",342.9029427
"97",96,"FKT TSARATANANA","p_2014_01",345.3582939
"98",97,"FKT TSARARIVOTRA","p_2014_01",348.0386004
"99",98,"FKT BEFOTAKA","p_2014_01",347.7329712
"100",99,"FKT AMBOHITSARA","p_2014_01",346.7083825
"101",100,"FKT FASINTSARA","p_2014_01",345.2523875
"102",101,"FKT AMBATOMANJAKA","p_2014_01",349.2099681
"103",102,"FKT TSARAKIANJA","p_2014_01",351.5095499
"104",103,"FKT SAHAKONDRO","p_2014_01",353.7466115
"105",104,"FKT MANAKANA SUD","p_2014_01",353.4624023
"106",105,"FKT AMBODIARA SUD","p_2014_01",353.6590139
"107",106,"FKT AMPASINAMBO","p_2014_01",301.5370373
"108",107,"FKT AMBODIVOANGY","p_2014_01",335.7621107
"109",108,"FKT AMBALAPAISO","p_2014_01",334.801653
"110",109,"FKT AMPITOMITA","p_2014_01",385.0849511
"111",110,"FKT ANIVORANO","p_2014_01",361.6884528
"112",111,"FKT KIANJAVATO","p_2014_01",365.0596533
"113",112,"FKT AMBATOVORY","p_2014_01",380.8862163
"114",113,"FKT ANTSINDRA","p_2014_01",375.4537115
"115",114,"FKT BEFOTAKA","p_2014_01",386.2848332
"116",115,"FKT AMPITABE","p_2014_01",386.049292
"117",116,"FKT AMBOATROTROKA","p_2014_01",384.4290231
"118",117,"FKT AMBINANIVATOMENA","p_2014_01",376.9811351
"119",118,"FKT AMBODIARA I","p_2014_01",392.5367075
"120",119,"FKT MORAFENO","p_2014_01",397.6586912
"121",120,"FKT BETAMPONA","p_2014_01",389.579785
"122",121,"FKT ANDRANOMAITSO","p_2014_01",391.5692288
"123",122,"FKT ANTARETRA","p_2014_01",387.805479
"124",123,"FKT AMBODIROTRA","p_2014_01",390.3151898
"125",124,"FKT ANDONABE","p_2014_01",386.9299162
"126",125,"FKT AMPASIMBE","p_2014_01",378.541469
"127",126,"FKT ANDRORANGAVOLA","p_2014_01",382.0353149
"128",127,"FKT AMBODIFONTSINA","p_2014_01",386.9604437
"129",128,"FKT AMBALATENINA","p_2014_01",389.4236518
"130",129,"FKT AMBALAFASINA","p_2014_01",382.5272128
"131",130,"FKT AMBOHIMAHAVELONA BETOHO","p_2014_01",378.2205809
"132",131,"FKT NOSIBE SUD","p_2014_01",386.0525812
"133",132,"FKT MANDRIAPOTSY","p_2014_01",383.3700297
"134",133,"FKT AMBALAVAONA","p_2014_01",380.7604825
"135",134,"FKT LAVAKIANJA SUD","p_2014_01",376.8507794
"136",135,"FKT AMBODIARA NORD","p_2014_01",383.6677463
"137",136,"FKT MAHASOA","p_2014_01",373.7112135
"138",137,"FKT AMBODIRORANGA","p_2014_01",381.1204283
"139",138,"FKT AMBOHIMISAFY","p_2014_01",378.2416942
"140",139,"FKT AMBALATABAKA","p_2014_01",375.3176698
"141",140,"FKT ANIVORANO","p_2014_01",373.6507713
"142",141,"FKT AMPASIMPOTSY","p_2014_01",387.3741993
"143",142,"FKT AMBOHIMIARINA","p_2014_01",353.4119829
"144",143,"FKT MATSITSIRANO","p_2014_01",334.9321555
"145",144,"FKT BETAMPO NORD","p_2014_01",321.0155781
"146",145,"FKT ANDRORANGAVOLA SUD","p_2014_01",342.1021624
"147",146,"FKT ANALAMPASINA","p_2014_01",347.6360602
"148",147,"FKT ANALAVORY","p_2014_01",336.9784546
"149",148,"FKT AMBARO","p_2014_01",322.4270791
"150",149,"FKT AMBOHIMALAZA","p_2014_01",354.4805107
"151",150,"FKT MANJIRIANA SUD","p_2014_01",343.5779505
"152",151,"FKT MAROSATROKA","p_2014_01",367.6178463
"153",152,"FKT MAROLANANANA","p_2014_01",348.248926
"154",153,"FKT AMBODIMANGA NORD","p_2014_01",350.1064464
"155",154,"FKT VOHITRARIVO","p_2014_01",351.6203991
"156",155,"FKT SOANIHERENANA NORD","p_2014_01",352.8267133
"157",156,"FKT AMBALAVARY","p_2014_01",353.0679739
"158",157,"FKT FASINTSARA ANDAKANA","p_2014_01",353.9270847
"159",158,"FKT NOSIMBOAHANGY","p_2014_01",357.7953564
"160",159,"FKT AMBALAHERANA","p_2014_01",359.7753057
"161",160,"FKT ANDRORANGAVOLA NORD","p_2014_01",350.6644726
"162",161,"FKT AMBOHIMIRANTY","p_2014_01",354.7309514
"163",162,"FKT MANDROALINA","p_2014_01",353.8067975
"164",163,"FKT MORARANO","p_2014_01",356.7852853
"165",164,"FKT AMBOHIMANGA SUD","p_2014_01",358.0944667
"166",165,"FKT SAHAMARANA","p_2014_01",359.9400784
"167",166,"FKT MASOAROVANA","p_2014_01",359.985648
"168",167,"FKT AMBILANIBE","p_2014_01",365.9521179
"169",168,"FKT AMBODIARA","p_2014_01",357.7203874
"170",169,"FKT AMBODIVOASARY","p_2014_01",358.5170765
"171",170,"FKT AMBATOFANOKONANA","p_2014_01",360.3874353
"172",171,"FKT AMBODIRAFIA","p_2014_01",368.5738581
"173",172,"FKT ANTANJONA","p_2014_01",375.6116818
"174",173,"FKT FALIARIVO","p_2014_01",373.9377623
"175",174,"FKT AMBOHIMIERA","p_2014_01",320.5722744
"176",175,"FKT MAROMANANA","p_2014_01",326.8593189
"177",176,"FKT AMBOLO","p_2014_01",329.9352291
"178",177,"FKT AMBINANITOMAROSANA","p_2014_01",337.0127512
"179",178,"FKT AMBOHIDAZA","p_2014_01",288.8162026
"180",179,"FKT AMPANTSONA","p_2014_01",274.3547007
"181",180,"FKT AMBOHIMILANJA","p_2014_01",288.3649175
"182",181,"FKT AMBOHIMAHAVELONA","p_2014_01",347.0345314
"183",182,"FKT AMBOHIMAHATSINJO","p_2014_01",337.3347519
"184",183,"FKT FIADANANA NORD","p_2014_01",359.2502397
"185",184,"FKT AMBODIMANGA","p_2014_01",361.6904588
"186",185,"FKT FALIARIVO","p_2014_01",363.4744078
"187",186,"FKT ANTARAMBAKANA","p_2014_01",358.1998136
"188",187,"FKT SAHALALONA","p_2014_01",372.7083346
"189",188,"FKT ANDRORANGAVOLA","p_2014_01",377.3271078
"190",189,"FKT VOHIMENA","p_2014_01",387.5831424
"191",190,"FKT MANARINONY","p_2014_01",343.4672622
"192",191,"FKT ANDEMAKA NORD","p_2014_01",363.92661
"193",192,"FKT TSINJORANO","p_2014_01",350.2253418
"194",193,"FKT SAHASOMANGANA","p_2014_01",328.4849033
"195",194,"FKT MAROFOTSY","p_2014_01",335.5500726
"196",0,"FKT ANTARALAVA","p_2014_02",263.2717468
"197",1,"FKT SANDRASATY","p_2014_02",241.2387826
"198",2,"FKT AMBOHIMITA","p_2014_02",257.3040487
"199",3,"FKT ANALAMARINA","p_2014_02",257.198371
"200",4,"FKT AMBALAFATAKANA EST","p_2014_02",270.2613467
"201",5,"FKT AMBALAFARY","p_2014_02",278.9550441
"202",6,"FKT MAROFOTOTRA","p_2014_02",261.6081805
"203",7,"FKT AMBOHIMASINA","p_2014_02",276.0995522
"204",8,"FKT BEFARY","p_2014_02",286.0950376
"205",9,"FKT AMBATOHARANANAKELY","p_2014_02",291.4012014
"206",10,"FKT AMBODIRAFIA EST","p_2014_02",280.3770708
"207",11,"FKT AMBATOHARANANA","p_2014_02",288.3917182
"208",12,"FKT SANDRAKELY","p_2014_02",274.1582626
"209",13,"FKT AMBOHINIHAONANA","p_2014_02",275.6875929
"210",14,"FKT AMBODIMANGA EST","p_2014_02",298.6375183
"211",15,"FKT AMBOHITSARA I","p_2014_02",288.255614
"212",16,"FKT SAHOFIKA","p_2014_02",293.7330024
"213",17,"FKT ANDRORANGAVOLA VATOFOTSY","p_2014_02",257.4906501
"214",18,"FKT TSARATANANA","p_2014_02",282.942056
"215",19,"FKT AMBODIGOAVY","p_2014_02",286.0448824
"216",20,"FKT AMBODIMANGA OUEST","p_2014_02",264.2322415
"217",21,"FKT VOHITRARIVO","p_2014_02",274.1477212
"218",22,"FKT AMBOHIPO","p_2014_02",248.0897684
"219",23,"FKT RANOMAFANA","p_2014_02",200.3460153
"220",24,"FKT AMBATOLAHY","p_2014_02",181.3943126
"221",25,"FKT TSARAMANDROSO","p_2014_02",223.7013633
"222",26,"FKT VOHIMARINA","p_2014_02",262.0338606
"223",27,"FKT MENARANO","p_2014_02",240.4234067
"224",28,"FKT AMBODIAVIAVY","p_2014_02",250.4467062
"225",29,"FKT AMPASIMPOTSY","p_2014_02",254.946945
"226",30,"FKT SAHANDRAZANA","p_2014_02",275.1726717
"227",31,"FKT MAROTOKO","p_2014_02",333.8906209
"228",32,"FKT AMBALAVIA","p_2014_02",323.6395871
"229",33,"FKT AMBATOMITRATRAKA","p_2014_02",322.9489244
"230",34,"FKT AMBARIJATSY","p_2014_02",325.4021147
"231",35,"FKT AMBOHIMAHAVELONA","p_2014_02",327.3153931
"232",36,"FKT AMBOATROTROKA","p_2014_02",329.5567807
"233",37,"FKT MANDIAFASINA","p_2014_02",329.8022296
"234",38,"FKT AMBODIARA SUD","p_2014_02",327.9144869
"235",39,"FKT MANAMPANDRANA","p_2014_02",330.7786103
"236",40,"FKT KIANJANOMBY","p_2014_02",332.4292709
"237",41,"FKT MALAZAMASINA SUD","p_2014_02",234.980611
"238",42,"FKT MALAZAMASINA NORD","p_2014_02",189.0044274
"239",43,"FKT ANTANJOMANGA","p_2014_02",200.5987692
"240",44,"FKT BETAMPONA NORD","p_2014_02",202.5825107
"241",45,"FKT AMBINANINDRANO","p_2014_02",207.8074384
"242",46,"FKT TANAMBAO OUEST","p_2014_02",206.5332845
"243",47,"FKT MANAKANA","p_2014_02",201.047527
"244",48,"FKT AMPASIMPOTSY","p_2014_02",203.5270684
"245",49,"FKT MAROHARATRA","p_2014_02",209.6364514
"246",50,"FKT SOANIERANA","p_2014_02",210.8027805
"247",51,"FKT MALEMIAMBO","p_2014_02",211.9759784
"248",52,"FKT AMPASIMADINIKAKELY","p_2014_02",208.4163497
"249",53,"FKT AMBALAVOLO","p_2014_02",214.0756822
"250",54,"FKT AMBOHITSARA EST","p_2014_02",227.4688071
"251",55,"FKT ANIVORANO","p_2014_02",226.6243351
"252",56,"FKT MAHATSARA","p_2014_02",225.0984746
"253",57,"FKT SAHOMBY","p_2014_02",218.8202129
"254",58,"FKT AMBODIMANGA","p_2014_02",221.8152991
"255",59,"FKT AMPASIMADINIKA","p_2014_02",220.9860379
"256",60,"FKT SAHAVATANA","p_2014_02",285.8093128
"257",61,"FKT AMBODIVOANGY","p_2014_02",235.4638582
"258",62,"FKT AMBOHINIHAONANA","p_2014_02",287.3500425
"259",63,"FKT KIANJANOMBY","p_2014_02",261.8466273
"260",64,"FKT AMPITAMBE","p_2014_02",279.0580942
"261",65,"FKT MANDRIVANY","p_2014_02",267.7985932
"262",66,"FKT AMBODIPAISO NORD","p_2014_02",276.6887761
"263",67,"FKT AMBODIPAISO SUD","p_2014_02",282.2140808
"264",68,"FKT KELILALINA","p_2014_02",271.8133736
"265",69,"FKT ANDRANOMAINTY","p_2014_02",279.8865278
"266",70,"FKT ANOSY","p_2014_02",275.7395336
"267",71,"FKT FOTSIALANANA","p_2014_02",285.5865483
"268",72,"FKT AMBALADINGANA","p_2014_02",288.2000765
"269",73,"FKT AMBODIARA","p_2014_02",312.2434191
"270",74,"FKT SAHAFITOROKA","p_2014_02",306.4777403
"271",75,"FKT MAROMENA","p_2014_02",301.7735416
"272",76,"FKT ANDRANOFOLAHINA","p_2014_02",289.6572943
"273",77,"FKT AMBORAKA","p_2014_02",302.2191755
"274",78,"FKT IFANADIANA","p_2014_02",310.3419895
"275",79,"FKT ANTAFOTENINA","p_2014_02",312.1273447
"276",80,"FKT AMBODIRAFIA II","p_2014_02",307.9396823
"277",81,"FKT FENOARIVO I","p_2014_02",314.5037281
"278",82,"FKT AMBINANINDRANOTELO","p_2014_02",302.5043003
"279",83,"FKT ANKABOKA","p_2014_02",295.7766935
"280",84,"FKT AMBIABE I","p_2014_02",308.8478419
"281",85,"FKT ANDRANOMAINTSO","p_2014_02",217.3508166
"282",86,"FKT FIADANANA NORD","p_2014_02",174.0643779
"283",87,"FKT MORARANO","p_2014_02",176.913029
"284",88,"FKT AMPASIMBOLA I","p_2014_02",186.5386467
"285",89,"FKT SAKAVANANA","p_2014_02",191.7357698
"286",90,"FKT AMBODIARA NORD","p_2014_02",188.4487182
"287",91,"FKT AMBINANISERY","p_2014_02",193.348057
"288",92,"FKT VOLOBE","p_2014_02",180.3736122
"289",93,"FKT ANTENIMBELONA","p_2014_02",199.9851912
"290",94,"FKT AMBOHINIHAONANA","p_2014_02",198.9009304
"291",95,"FKT MAROVORAKA","p_2014_02",197.5732861
"292",96,"FKT TSARATANANA","p_2014_02",199.5776135
"293",97,"FKT TSARARIVOTRA","p_2014_02",201.6753831
"294",98,"FKT BEFOTAKA","p_2014_02",201.3612671
"295",99,"FKT AMBOHITSARA","p_2014_02",201.7099188
"296",100,"FKT FASINTSARA","p_2014_02",199.3043691
"297",101,"FKT AMBATOMANJAKA","p_2014_02",204.2490091
"298",102,"FKT TSARAKIANJA","p_2014_02",204.9509494
"299",103,"FKT SAHAKONDRO","p_2014_02",207.3437479
"300",104,"FKT MANAKANA SUD","p_2014_02",210.8743744
"301",105,"FKT AMBODIARA SUD","p_2014_02",209.26711
"302",106,"FKT AMPASINAMBO","p_2014_02",175.0587343
"303",107,"FKT AMBODIVOANGY","p_2014_02",191.2596176
"304",108,"FKT AMBALAPAISO","p_2014_02",192.1318287
"305",109,"FKT AMPITOMITA","p_2014_02",258.9603722
"306",110,"FKT ANIVORANO","p_2014_02",224.4621472
"307",111,"FKT KIANJAVATO","p_2014_02",229.6438062
"308",112,"FKT AMBATOVORY","p_2014_02",249.1943031
"309",113,"FKT ANTSINDRA","p_2014_02",242.7945372
"310",114,"FKT BEFOTAKA","p_2014_02",256.0798294
"311",115,"FKT AMPITABE","p_2014_02",268.6800193
"312",116,"FKT AMBOATROTROKA","p_2014_02",319.038688
"313",117,"FKT AMBINANIVATOMENA","p_2014_02",289.8467467
"314",118,"FKT AMBODIARA I","p_2014_02",299.1956007
"315",119,"FKT MORAFENO","p_2014_02",305.384103
"316",120,"FKT BETAMPONA","p_2014_02",301.4949859
"317",121,"FKT ANDRANOMAITSO","p_2014_02",307.7024278
"318",122,"FKT ANTARETRA","p_2014_02",313.6492137
"319",123,"FKT AMBODIROTRA","p_2014_02",312.3418102
"320",124,"FKT ANDONABE","p_2014_02",317.5282738
"321",125,"FKT AMPASIMBE","p_2014_02",321.5684747
"322",126,"FKT ANDRORANGAVOLA","p_2014_02",325.4201128
"323",127,"FKT AMBODIFONTSINA","p_2014_02",310.8083129
"324",128,"FKT AMBALATENINA","p_2014_02",317.2778783
"325",129,"FKT AMBALAFASINA","p_2014_02",314.668286
"326",130,"FKT AMBOHIMAHAVELONA BETOHO","p_2014_02",318.6196966
"327",131,"FKT NOSIBE SUD","p_2014_02",320.9803049
"328",132,"FKT MANDRIAPOTSY","p_2014_02",321.2449655
"329",133,"FKT AMBALAVAONA","p_2014_02",322.6526087
"330",134,"FKT LAVAKIANJA SUD","p_2014_02",325.9650403
"331",135,"FKT AMBODIARA NORD","p_2014_02",318.2066981
"332",136,"FKT MAHASOA","p_2014_02",324.8947323
"333",137,"FKT AMBODIRORANGA","p_2014_02",325.6724794
"334",138,"FKT AMBOHIMISAFY","p_2014_02",326.7965571
"335",139,"FKT AMBALATABAKA","p_2014_02",328.6507111
"336",140,"FKT ANIVORANO","p_2014_02",327.418236
"337",141,"FKT AMPASIMPOTSY","p_2014_02",319.5494345
"338",142,"FKT AMBOHIMIARINA","p_2014_02",214.6309411
"339",143,"FKT MATSITSIRANO","p_2014_02",191.9063368
"340",144,"FKT BETAMPO NORD","p_2014_02",184.9338487
"341",145,"FKT ANDRORANGAVOLA SUD","p_2014_02",201.3693373
"342",146,"FKT ANALAMPASINA","p_2014_02",203.8366814
"343",147,"FKT ANALAVORY","p_2014_02",199.6114349
"344",148,"FKT AMBARO","p_2014_02",188.2781234
"345",149,"FKT AMBOHIMALAZA","p_2014_02",212.8489352
"346",150,"FKT MANJIRIANA SUD","p_2014_02",205.769193
"347",151,"FKT MAROSATROKA","p_2014_02",232.5748171
"348",152,"FKT MAROLANANANA","p_2014_02",201.8740748
"349",153,"FKT AMBODIMANGA NORD","p_2014_02",204.0118081
"350",154,"FKT VOHITRARIVO","p_2014_02",204.2922362
"351",155,"FKT SOANIHERENANA NORD","p_2014_02",206.0119045
"352",156,"FKT AMBALAVARY","p_2014_02",209.8669595
"353",157,"FKT FASINTSARA ANDAKANA","p_2014_02",211.1252856
"354",158,"FKT NOSIMBOAHANGY","p_2014_02",217.6735504
"355",159,"FKT AMBALAHERANA","p_2014_02",218.5045295
"356",160,"FKT ANDRORANGAVOLA NORD","p_2014_02",206.1234959
"357",161,"FKT AMBOHIMIRANTY","p_2014_02",211.8746686
"358",162,"FKT MANDROALINA","p_2014_02",211.4328783
"359",163,"FKT MORARANO","p_2014_02",215.1911137
"360",164,"FKT AMBOHIMANGA SUD","p_2014_02",218.0230096
"361",165,"FKT SAHAMARANA","p_2014_02",219.7854022
"362",166,"FKT MASOAROVANA","p_2014_02",220.8610491
"363",167,"FKT AMBILANIBE","p_2014_02",225.0341644
"364",168,"FKT AMBODIARA","p_2014_02",218.772817
"365",169,"FKT AMBODIVOASARY","p_2014_02",221.3718278
"366",170,"FKT AMBATOFANOKONANA","p_2014_02",225.1487961
"367",171,"FKT AMBODIRAFIA","p_2014_02",230.4756985
"368",172,"FKT ANTANJONA","p_2014_02",242.8895114
"369",173,"FKT FALIARIVO","p_2014_02",239.3635029
"370",174,"FKT AMBOHIMIERA","p_2014_02",199.1015266
"371",175,"FKT MAROMANANA","p_2014_02",192.7187314
"372",176,"FKT AMBOLO","p_2014_02",195.2135963
"373",177,"FKT AMBINANITOMAROSANA","p_2014_02",203.1453007
"374",178,"FKT AMBOHIDAZA","p_2014_02",167.8851043
"375",179,"FKT AMPANTSONA","p_2014_02",158.930195
"376",180,"FKT AMBOHIMILANJA","p_2014_02",176.3586278
"377",181,"FKT AMBOHIMAHAVELONA","p_2014_02",212.4359018
"378",182,"FKT AMBOHIMAHATSINJO","p_2014_02",205.0316484
"379",183,"FKT FIADANANA NORD","p_2014_02",223.9508523
"380",184,"FKT AMBODIMANGA","p_2014_02",228.0787063
"381",185,"FKT FALIARIVO","p_2014_02",229.9400019
"382",186,"FKT ANTARAMBAKANA","p_2014_02",224.1994568
"383",187,"FKT SAHALALONA","p_2014_02",238.3075805
"384",188,"FKT ANDRORANGAVOLA","p_2014_02",245.5957014
"385",189,"FKT VOHIMENA","p_2014_02",261.6661849
"386",190,"FKT MANARINONY","p_2014_02",224.9058193
"387",191,"FKT ANDEMAKA NORD","p_2014_02",231.7055182
"388",192,"FKT TSINJORANO","p_2014_02",222.7733307
"389",193,"FKT SAHASOMANGANA","p_2014_02",210.4885819
"390",194,"FKT MAROFOTSY","p_2014_02",206.8446302
"391",0,"FKT ANTARALAVA","p_2014_03",344.058499
"392",1,"FKT SANDRASATY","p_2014_03",351.7635183
"393",2,"FKT AMBOHIMITA","p_2014_03",358.2174988
"394",3,"FKT ANALAMARINA","p_2014_03",362.4204978
"395",4,"FKT AMBALAFATAKANA EST","p_2014_03",382.150522
"396",5,"FKT AMBALAFARY","p_2014_03",383.6589845
"397",6,"FKT MAROFOTOTRA","p_2014_03",369.565833
"398",7,"FKT AMBOHIMASINA","p_2014_03",381.14066
"399",8,"FKT BEFARY","p_2014_03",384.8598488
"400",9,"FKT AMBATOHARANANAKELY","p_2014_03",382.3834502
"401",10,"FKT AMBODIRAFIA EST","p_2014_03",380.7525081
"402",11,"FKT AMBATOHARANANA","p_2014_03",380.5548175
"403",12,"FKT SANDRAKELY","p_2014_03",370.6520848
"404",13,"FKT AMBOHINIHAONANA","p_2014_03",371.3301624
"405",14,"FKT AMBODIMANGA EST","p_2014_03",382.4361407
"406",15,"FKT AMBOHITSARA I","p_2014_03",375.5954825
"407",16,"FKT SAHOFIKA","p_2014_03",377.8930608
"408",17,"FKT ANDRORANGAVOLA VATOFOTSY","p_2014_03",334.1583354
"409",18,"FKT TSARATANANA","p_2014_03",373.7412936
"410",19,"FKT AMBODIGOAVY","p_2014_03",372.1097452
"411",20,"FKT AMBODIMANGA OUEST","p_2014_03",353.402832
"412",21,"FKT VOHITRARIVO","p_2014_03",361.6292934
"413",22,"FKT AMBOHIPO","p_2014_03",325.8652948
"414",23,"FKT RANOMAFANA","p_2014_03",245.5854235
"415",24,"FKT AMBATOLAHY","p_2014_03",232.1890534
"416",25,"FKT TSARAMANDROSO","p_2014_03",290.5489189
"417",26,"FKT VOHIMARINA","p_2014_03",306.8205967
"418",27,"FKT MENARANO","p_2014_03",295.3369567
"419",28,"FKT AMBODIAVIAVY","p_2014_03",312.1194042
"420",29,"FKT AMPASIMPOTSY","p_2014_03",309.4177018
"421",30,"FKT SAHANDRAZANA","p_2014_03",317.2402253
"422",31,"FKT MAROTOKO","p_2014_03",377.7523841
"423",32,"FKT AMBALAVIA","p_2014_03",365.0951573
"424",33,"FKT AMBATOMITRATRAKA","p_2014_03",358.0088277
"425",34,"FKT AMBARIJATSY","p_2014_03",366.0242554
"426",35,"FKT AMBOHIMAHAVELONA","p_2014_03",365.5252441
"427",36,"FKT AMBOATROTROKA","p_2014_03",370.3980307
"428",37,"FKT MANDIAFASINA","p_2014_03",378.3860828
"429",38,"FKT AMBODIARA SUD","p_2014_03",383.9154684
"430",39,"FKT MANAMPANDRANA","p_2014_03",382.5648604
"431",40,"FKT KIANJANOMBY","p_2014_03",372.9311174
"432",41,"FKT MALAZAMASINA SUD","p_2014_03",385.44209
