"","ID","year","month","intervention","Population","Population.u5","Population.over5","closest.csb","real.dist.csb","m1.fit.st","palu.pc.2nn_0.08","palu.und5.pc.3nn_0.19","fokontany","altitude","nets.high","nets.low","yfl","tc","fcl","maj.veg","min.veg","med.veg","mean.ann.temp","min.ann.temp","max.ann.temp","mean.ann.p","wet.p","dry.p","monthly.p","monthly.max.t","monthly.min.t","monthly.p.lag","monthly.max.t.lag","monthly.min.t.lag","lat","long","x_32738","y_32738"
"13",109,2014,1,0,808,145,663,"csb2.antsindra",4.615,NA,NA,NA,"AMPITOMITA",410.033333333333,0.745827338452533,0.682782500357743,0.188172147566169,61.7524552225744,0.259368740397892,16,6,"Degraded humid forest",21.8119565300319,13.4282607824906,28.9478260952493,106878,19095,2931,385.0849511,29.36525314,20.90067547,334.801653,27.94764613,18.90456076,-21.00622705,47.75188912,786070.9884,7674699.221
"14",11,2014,1,1,1443,260,1183,"csb2.tsaratanana",11.099,NA,NA,NA,"AMBATOHARANANA",466.407407407407,0.63506337267509,0.521774163687758,0.153838328348491,65.1190461657409,0.254430405501638,16,6,"Degraded humid forest",21.7349928929256,13.5323076761686,28.7737607727703,130646.5,23134,3574.5,399.7173964,28.977497,20.62908142,395.5328482,29.18850169,20.81861783,-21.17937578,47.72099112,782529.1502,7655575.102
"15",110,2014,1,0,1052,189,863,"csb2.ambohimanga.sud",12.407,NA,NA,NA,"ANIVORANO",660.88,0.663516884517791,0.625562359473217,0.172297362480465,65.9315248220108,0.236431341526944,16,4,"Degraded humid forest",21.3843623208656,13.0047547135759,28.5513765843159,67924,11880,1864.66666666667,361.6884528,28.22137055,19.5429112,385.0849511,29.36525314,20.90067547,-20.89705066,47.68704585,779529.4456,7686906.806
"16",111,2014,1,0,748,135,613,"csb2.antsindra",11.531,NA,NA,NA,"KIANJAVATO",635.857142857143,0.683156594629508,0.675984114350906,0.151521402784941,62.2854048478597,0.235662712738525,16,7,"Degraded humid forest",20.6439189395389,12.1918919022019,27.8945946564546,81651,14484,2154,365.0596533,28.47514864,19.84263704,361.6884528,28.22137055,19.5429112,-20.90224023,47.72613398,783588.2492,7686263.374
"17",112,2014,1,0,1711,308,1403,"csb2.antsindra",8.59,NA,NA,NA,"AMBATOVORY",357.653846153846,0.720617661274267,0.697660254720502,0.113542421689815,56.3280897995964,0.154700570062883,16,14,"Degraded humid forest",21.9811170862076,13.5297871650533,29.1531913432669,108656,19378,3016,380.8862163,29.48009847,20.94123651,365.0596533,28.47514864,19.84263704,-20.94024348,47.76963908,788043.8074,7681976.259
"18",113,2014,1,0,1479,266,1213,"csb2.antsindra",4.577,NA,NA,NA,"ANTSINDRA",533.407407407407,0.727660656969073,0.660834638502473,0.188835942818244,66.9428765924341,0.265856267626179,16,6,"Degraded humid forest",21.1139492781266,12.7043478592582,28.3000001078067,104649,18705,2748,375.4537115,28.71053353,20.10298717,380.8862163,29.48009847,20.94123651,-20.9682473,47.71650866,782462.4496,7678969.077
"19",114,2014,1,0,1003,181,822,"csb2.antsindra",8.73,NA,NA,NA,"BEFOTAKA",347.454545454545,0.747586388635898,0.702910342583778,0.108817846478131,62.5737748111716,0.159757597049008,16,7,"Degraded humid forest",21.250416636467,12.6137500047684,28.6600000619888,31873,5686,903,386.2848332,29.43350905,21.01357608,375.4537115,28.71053353,20.10298717,-20.97314618,47.79724761,790853.1181,7678281.67
"20",115,2014,1,0,1078,194,884,"csb2.antsindra",11.621,NA,NA,NA,"AMPITABE",209.5,0.732920661634422,0.648158171305269,0.0872682323856613,54.6117428924598,0.099876390605686,16,14,"Degraded humid forest",22.6988094874791,14.3999998910086,29.6999999455043,16279,2879,492,386.049292,29.75322893,21.46086519,386.2848332,29.43350905,21.01357608,-21.04449117,47.78962981,789922.503,7670392.554
"21",116,2014,1,0,589,106,483,"csb2.antaretra",9.642,NA,NA,NA,"AMBOATROTROKA",364.5625,0.695029488206732,0.768275686116675,0.149870622735898,64.6510608935656,0.184716232534069,16,4,"Degraded humid forest",21.9674767211631,13.758333241498,28.9472223211218,52107.5,9079.5,1496.5,384.4290231,29.06483583,21.1309135,386.049292,29.75322893,21.46086519,-21.4240886,47.77950095,788129.8178,7628361.967
"22",117,2014,1,0,523,94,429,"csb2.antaretra",17.269,NA,NA,NA,"AMBINANIVATOMENA",105.375,0.654828659233373,0.720126487712256,0.106313115668174,51.8733659624559,0.122916795737563,16,14,"Degraded humid forest",23.0916666143081,15.0176469578462,30.000000224394,38112,6794,1225,376.9811351,30.28501392,22.29968706,384.4290231,29.06483583,21.1309135,-21.24831336,47.80123447,790730.7354,7647793.355
"23",118,2014,1,0,701,126,575,"csb2.antaretra",11.764,NA,NA,NA,"AMBODIARA I",307.5,0.648307848910533,0.737441298520758,0.107190624800968,59.6023820138845,0.138972039997452,16,7,"Degraded humid forest",22.0733972696158,13.9538460511428,29.0692307398869,30710,5446,845,392.5367075,29.65334648,21.62340238,376.9811351,30.28501392,22.29968706,-21.26728559,47.76243967,786665.2545,7645762.716
"24",119,2014,1,0,451,81,370,"csb2.antaretra",9.304,NA,NA,NA,"MORAFENO",278.5,0.648689056821062,0.74699182803348,0.061641326250229,58.5460707089211,0.0863711302436344,16,7,"Degraded humid forest",22.174582862854,13.9800000190735,29.189999961853,23554,4196,636,397.6586912,29.23989939,21.12330944,392.5367075,29.65334648,21.62340238,-21.29689505,47.74508006,784805.6983,7642514.303
"25",12,2014,1,1,861,155,706,"csb2.tsaratanana",7.59,NA,NA,NA,"SANDRAKELY",503.25,0.636297952588774,0.520690999157294,0.151023736184091,60.6982696140605,0.198813190795434,16,14,"Degraded humid forest",21.2081438411366,12.6636363376271,28.377272605896,51221,9405,1305,399.1651661,28.83903563,20.3517227,399.7173964,28.977497,20.62908142,-21.12932313,47.64951854,775196.5215,7661244.899
"26",120,2014,1,0,912,164,748,"csb2.antaretra",8.977,NA,NA,NA,"BETAMPONA",318.25,0.656927634592184,0.75175759960532,0.049583498611662,54.8650006611133,0.0596324209969589,16,7,"Degraded humid forest",21.4746311604977,13.1166666398446,28.7322916189829,41260,7320,1109.5,389.579785,29.7066262,21.70238402,397.6586912,29.23989939,21.12330944,-21.29118818,47.76480789,786864.7465,7643110.673
"27",121,2014,1,0,980,176,804,"csb2.antaretra",5.156,NA,NA,NA,"ANDRANOMAITSO",348.4,0.679331628928704,0.787190799393115,0.0782759163127261,59.286676105081,0.120622935346862,16,14,"Degraded humid forest",21.989367649473,13.8379310081745,28.9862067781646,68574,12127,1869,391.5692288,29.3344858,21.30197161,389.579785,29.7066262,21.70238402,-21.32914811,47.75558814,785834.0458,7638922.543
