LIB_FKT,long,lat,x_unknown,y_unknown,x_32738,y_32738
FKT AMBOHINIHAONANA,47.59630484,-21.2325792,520299.4185,541558.749,769479.169,7649899.61
FKT KIANJANOMBY,47.57375645,-21.23699778,517955.2515,541086.8144,767129.6527,7649448.501
FKT AMPITAMBE,47.58149226,-21.25713355,518741.8171,538851.6041,767896.5147,7647205.175
FKT MANDRIVANY,47.55812336,-21.25196913,516320.5902,539441.0664,765479.45,7647816.658
FKT AMBODIPAISO NORD,47.57197289,-21.28309559,517732.8176,535984.4696,766861.2823,7644345.771
FKT AMBODIPAISO SUD,47.57713146,-21.3066397,518248.9317,533373.8363,767354.1633,7641729.294
FKT KELILALINA,47.54300009,-21.287113,514723.2123,535561.4263,763846.4935,7643949.576
FKT ANDRANOMAINTY,47.57342275,-21.32343415,517850.4868,531517.2467,766938.8361,7639875.439
FKT ANOSY,47.53473121,-21.33324965,513828.9155,530459.546,762905.9394,7638853.433
FKT FOTSIALANANA,47.54901394,-21.35666627,515291.8014,527856.3417,764346.0592,7636235.91
FKT AMBALADINGANA,47.53895672,-21.38373365,514227.2457,524867.0333,763254.1266,7633254.866
FKT AMBODIARA,47.65012714,-21.38576155,525753.8544,524555.8953,774783.0953,7632839.697
FKT SAHAFITOROKA,47.70258322,-21.28832433,531281.6698,535300.8538,780410.4245,7643539.894
FKT MAROMENA,47.62320164,-21.26475103,523064.2801,537975.7763,772213.1502,7646290.083
FKT ANDRANOFOLAHINA,47.58438057,-21.29467249,519010.8558,534693.2473,768128.304,7643042.461
FKT AMBORAKA,47.60322104,-21.32449118,520940.9113,531377.2074,770029.4167,7639707.524
FKT IFANADIANA,47.63799455,-21.31039996,524560.4644,532909.8115,773664.4555,7641208.254
FKT ANTAFOTENINA,47.65046437,-21.32943142,525837.7527,530792.5771,774923.2718,7639078.517
FKT AMBODIRAFIA II,47.69793343,-21.34708808,530746.3497,528798.2949,779816.2056,7637039.028
FKT FENOARIVO I,47.66242404,-21.40887096,527008.744,521987.0744,776015.3706,7630258.372
FKT AMBINANINDRANOTELO,47.57346079,-21.44379707,517756.0632,518190.8147,766724.3111,7626543.939
FKT ANKABOKA,47.56985974,-21.39951954,517418.9613,523095.9663,766431.2903,7631454.272
FKT AMBIABE I,47.59723792,-21.39972822,520257.5945,523051.7054,769270.7822,7631384.403
FKT ANDRANOMAINTSO,47.7095394,-20.84030201,532402.9461,584897.7553,781976.6906,7693153.158
FKT FIADANANA NORD,47.69972554,-20.54907192,531633.2044,617145.8556,781492.3389,7725427.457
FKT MORARANO,47.73278813,-20.56622474,535065.5122,615220.0322,784909.8038,7723470.124
FKT AMPASIMBOLA I,47.70762068,-20.61797024,532396.9384,609512.4323,782189.1221,7717782.551
FKT SAKAVANANA,47.70062899,-20.64118556,531648.2619,606948.1524,781417.3032,7715223.324
FKT AMBODIARA NORD,47.7313077,-20.62343662,534860.8478,608887.8253,784649.0291,7717135.762
FKT AMBINANISERY,47.72893838,-20.64909763,534591.3311,606049.0515,784354.2159,7714297.619
FKT VOLOBE,47.64809967,-20.60099255,526207.6142,611439.1975,776013.0539,7719765.179
FKT ANTENIMBELONA,47.71717588,-20.67261788,533345.1036,603455.0075,783084.2475,7711713.027
FKT AMBOHINIHAONANA,47.70526681,-20.6854141,532093.2538,602048.1868,781819.1735,7710316.447
FKT MAROVORAKA,47.66186999,-20.69774628,527561.9922,600717.8243,777273.4242,7709025.439
FKT TSARATANANA,47.64891831,-20.70938757,526203.1876,599439.2942,775902.4966,7707758.197
FKT TSARARIVOTRA,47.66547083,-20.71789819,527920.1173,598484.1257,777611.9665,7706787.254
FKT BEFOTAKA,47.64844122,-20.72486372,526140.6338,597726.4373,775824.7281,7706044.896
FKT AMBOHITSARA,47.70688372,-20.71410529,532236.7659,598870.6544,781934.5993,7707135.735
FKT FASINTSARA,47.68234572,-20.70192055,529691.3403,600239.428,779399.7931,7708527.893
FKT AMBATOMANJAKA,47.70198968,-20.74409892,531700.9964,595554.2341,781369.0814,7703822.097
FKT TSARAKIANJA,47.66385859,-20.75429538,527721.5397,594456.1407,777377.5481,7702758.681
FKT SAHAKONDRO,47.65932582,-20.78468434,527223.9856,591095.5697,776849.873,7699400.59
FKT MANAKANA SUD,47.68135936,-20.80941811,529496.6805,588339.815,779099.3825,7696623.058
FKT AMBODIARA SUD,47.68736257,-20.78327542,530144.0926,591229.0991,779772.8506,7699508.256
FKT AMPASINAMBO,47.67253685,-20.55344494,528794.6573,616683.4682,778647.9495,7724989.82
FKT AMBODIVOANGY,47.62241422,-20.65455044,523487.0827,605530.2127,773238.704,7713876.715
FKT AMBALAPAISO,47.67788576,-20.65137969,529269.649,605837.9426,779027.4265,7714133.488
FKT AMPITOMITA,47.75188912,-21.00622705,536659.2002,566492.2298,786070.9884,7674699.221
FKT ANIVORANO,47.68704585,-20.89705066,530012.8726,578633.6624,779529.4456,7686906.806
FKT KIANJAVATO,47.72613398,-20.90224023,534074.7988,578026.8042,783588.2492,7686263.374
FKT AMBATOVORY,47.76963908,-20.94024348,538565.7135,573782.2237,788043.8074,7681976.259
FKT ANTSINDRA,47.71650866,-20.9682473,533014.7906,570727.1335,782462.4496,7678969.077
FKT BEFOTAKA,47.79724761,-20.97314618,541406.2144,570115.1475,790853.1181,7678281.67
FKT AMPITABE,47.78962981,-21.04449117,540546.8243,562222.7778,789922.503,7670392.554
FKT AMBOATROTROKA,47.77950095,-21.4240886,539133.6856,520201.1498,788129.8178,7628361.967
FKT AMBINANIVATOMENA,47.80123447,-21.24831336,541557.6457,539644.7884,790730.7354,7647793.355
FKT AMBODIARA I,47.76243967,-21.26728559,537512.8686,537578.7203,786665.2545,7645762.716
FKT MORAFENO,47.74508006,-21.29689505,535683.6633,534315.4405,784805.6983,7642514.303
FKT BETAMPONA,47.76480789,-21.29118818,537736.1437,534930.0236,786864.7465,7643110.673
FKT ANDRANOMAITSO,47.75558814,-21.32914811,536743.8065,530735.0161,785834.0458,7638922.543
FKT ANTARETRA,47.78392366,-21.35826598,539655.5692,527485.6721,788717.8743,7635645.29
FKT AMBODIROTRA,47.75060073,-21.37304714,536185.2631,525878.6124,785231.3518,7634068.825
FKT ANDONABE,47.7803338,-21.39892075,539244.2229,522987.2377,788265.6315,7631148.389
FKT AMPASIMBE,47.79433014,-21.45557661,540640.5796,516701.0096,789605.7133,7624846.513
FKT ANDRORANGAVOLA,47.71749315,-21.49190626,532642.2923,512746.3906,781567.8997,7620962.546
FKT AMBODIFONTSINA,47.70768203,-21.40979425,531700.5689,521846.8928,780708.0915,7630075.736
FKT AMBALATENINA,47.64783967,-21.45147767,525459.4379,517281.4485,774422.8573,7625564.62
FKT AMBALAFASINA,47.61989885,-21.4850672,522534.5327,513584.8651,771463.2593,7621892.846
FKT AMBOHIMAHAVELONA BETOHO,47.61958327,-21.52150209,522470.6362,509550.8761,771362.861,7617857.7
FKT NOSIBE SUD,47.65732982,-21.48325754,526415.1867,513754.8287,775347.1466,7622027.797
FKT MANDRIAPOTSY,47.65059758,-21.50029882,525702.5538,511873.4534,774617.1826,7620152.043
FKT AMBALAVAONA,47.65305942,-21.5229442,525937.7346,509363.9818,774829.7564,7617639.353
FKT LAVAKIANJA SUD,47.66790117,-21.56642716,527436.6607,504536.8793,776285.6045,7612796.603
FKT AMBODIARA NORD,47.73133586,-21.44648976,534119.1206,517763.3129,783090.8281,7625968.386
FKT MAHASOA,47.78338857,-21.49260601,539470.5633,512610.5886,788398.0574,7620764.789
FKT AMBODIRORANGA,47.68161377,-21.52607817,528893.3611,508993.1759,777783.3095,7617241.624
FKT AMBOHIMISAFY,47.69470043,-21.55537378,530222.5568,505738.1979,779083.587,7613973.185
FKT AMBALATABAKA,47.7168006,-21.54574218,532520.7707,506785.7224,781392.3016,7615000.328
FKT ANIVORANO,47.74774429,-21.52177309,535749.0705,509412.7668,784645.8614,7617599.262
FKT AMPASIMPOTSY,47.69498469,-21.45740357,530340.9901,516586.0705,779300.3154,7624824.793
FKT AMBOHIMIARINA,47.54258279,-20.89820851,514983.2427,578616.5485,764491.5158,7687023.502
FKT MATSITSIRANO,47.53699582,-20.75978383,514507.5582,593944.1503,764151.5868,7702363.536
FKT BETAMPO NORD,47.49183274,-20.81007119,509768.4974,588409.1055,759360.9519,7696867.499
FKT ANDRORANGAVOLA SUD,47.51707342,-20.82876444,512381.6975,586322.2402,761957.0323,7694756.362
FKT ANALAMPASINA,47.54645501,-20.8102122,515453.8108,588355.0112,765048.8208,7696762.972
FKT ANALAVORY,47.52393269,-20.86285044,513069.8548,582544.0882,762612.0222,7690970.107
FKT AMBARO,47.47705428,-20.85730003,508196.175,583191.0892,757741.5456,7691660.702
FKT AMBOHIMALAZA,47.55420539,-20.85897119,516222.7833,582951.7474,765770.2431,7691349.979
FKT MANJIRIANA SUD,47.51000248,-20.88123714,511606.6857,580518.5112,761130.0984,7688956.465
FKT MAROSATROKA,47.63606718,-20.95642237,524659.8529,572101.49,774115.2323,7680418.797
FKT MAROLANANANA,47.58620224,-20.75985363,519630.9519,593900.5457,769277.4267,7702274.52
FKT AMBODIMANGA NORD,47.60902967,-20.77161806,521998.3153,592581.0506,771634.4191,7700933.295
FKT VOHITRARIVO,47.63462115,-20.75241724,524678.6249,594686.9767,774334.928,7703016.645
FKT SOANIHERENANA NORD,47.6323827,-20.77906118,524423.6118,591739.1712,774053.6165,7700069.422
FKT AMBALAVARY,47.62987796,-20.81022745,524137.1984,588290.9163,773736.4231,7696621.764
FKT FASINTSARA ANDAKANA,47.65633519,-20.81312348,526888.7266,587949.6049,776486.471,7696255.81
FKT NOSIMBOAHANGY,47.66202108,-20.85790383,527442.6651,582987.6649,776996.586,7691286.144
FKT AMBALAHERANA,47.64376729,-20.86016776,525541.2913,582751.4754,775092.0487,7691066.745
FKT ANDRORANGAVOLA NORD,47.58640539,-20.80349442,519617.5004,589069.3393,769221.1216,7697440.75
FKT AMBOHIMIRANTY,47.58016436,-20.84283229,518936.7383,584719.2286,768501.3619,7693094.302
FKT MANDROALINA,47.60794428,-20.84140689,521828.8738,584856.1003,771396.295,7693205.55
FKT MORARANO,47.62371018,-20.85542649,523458.0997,583291.9812,773012.512,7691626.083
FKT AMBOHIMANGA SUD,47.59103048,-20.87959748,520038.1215,580641.0836,769567.0892,7689004.159
FKT SAHAMARANA,47.61431019,-20.88170871,522458.4856,580389.66,771986.5286,7688731.064
