"ID","tc_bf"
0,55.7747380675204
1,61.7242021029124
2,54.4582202676149
3,63.4126960021261
4,51.3890524993128
5,49.7688758616946
6,69.3896479956565
7,57.963685882887
8,59.8508030958722
9,68.0357743464302
10,63.8691216871364
11,65.1190461657409
12,60.6982696140605
13,62.068768115942
14,63.0161318758815
15,59.3034347399411
16,59.4298220929869
17,58.4721860278641
18,57.8327589967285
19,56.6996205733558
20,62.2917906656021
21,57.9896181594228
22,71.5248972685521
23,93.8966522309847
24,87.923192267013
25,82.6324670544062
26,80.4199197171687
27,53.0419376541826
28,55.4647820965842
29,66.3704907948504
30,71.5283704511239
31,54.0410440004619
32,55.8959496049069
33,60.8504127178233
34,48.9872483221477
35,50.1008953628224
36,47.841024378232
37,52.2014559979384
38,47.662741037919
39,51.0625631951466
40,57.9604547701434
41,61.0911972633979
42,82.7431698867898
43,54.9844897511783
44,56.4816028225806
45,58.4037933738483
46,48.1480814517246
47,52.1374016355501
48,52.5081613508443
49,61.6994643919857
50,56.958586504637
51,54.4608949309263
52,61.6541865214432
53,53.9376053518753
54,59.7535935085008
55,61.9090876333237
56,57.7811868569119
57,57.1815822381615
58,57.9943719815949
59,56.9090259159964
60,57.8165804783452
61,83.7058610271903
62,53.1067975388221
63,51.0963422599608
64,52.1577391946805
65,56.3320600562364
66,46.9500400748063
67,44.2811826301201
68,57.7623812010444
69,54.3941156728941
70,57.8857142857143
71,56.0012544364215
72,56.1901384280975
73,62.6821796594982
74,66.019323609139
75,58.4650736300432
76,51.6222547584187
77,66.8600947386889
78,60.2149263292761
79,60.3926457399103
80,68.7151662817972
81,61.6750761200522
82,59.750638951676
83,57.6613717931676
84,58.5951821224106
85,62.0806218586574
86,89.0207686906892
87,90.3906901654783
88,46.9032372191757
89,43.6881952781112
90,82.3522884882108
91,63.7849272807404
92,72.9522421988014
93,52.7014903776588
94,48.8102149258466
95,39.3079461792333
96,42.8602799227799
97,48.1961586901763
98,48.8013279520896
99,51.0705661704372
100,48.9820333214611
101,53.2668572231854
102,52.3191931434508
103,51.1810018903592
104,54.996298405467
105,52.3504398826979
106,86.0039621146372
107,45.3271018384631
108,49.7021158129176
109,61.7524552225744
110,65.9315248220108
111,62.2854048478597
112,56.3280897995964
113,66.9428765924341
114,62.5737748111716
115,54.6117428924598
116,64.6510608935656
117,51.8733659624559
118,59.6023820138845
119,58.5460707089211
120,54.8650006611133
121,59.286676105081
122,57.6615329512894
123,62.2674051317554
124,62.8683272596212
125,54.4853839441536
126,52.9174150576261
127,65.3737749082633
128,57.4536524671753
129,61.2103291937709
130,56.5803159173755
131,53.9800896688039
132,47.6820652173913
133,52.4817098882564
134,50.478810213214
135,59.8526828110161
136,52.7654293179566
137,51.0879787637467
138,49.2943499174384
139,45.0322027847197
140,45.2734604105572
141,58.0824871556293
142,53.0109517100038
143,58.8175258045855
144,75.3406276993953
145,64.2475940948254
146,58.9451044438005
147,55.6394527802295
148,70.296396798681
149,52.6985336027773
150,54.562962962963
151,57.48672224132
152,50.4995958650615
153,49.8689307146754
154,47.9113970142008
155,51.2908915529833
156,54.7326089456134
157,52.4451662629377
158,52.929931146213
159,53.687907676869
160,53.7730051853572
161,55.3543827016973
162,52.672579644187
163,52.6171768297582
164,47.1980811513092
165,51.7392529950669
166,49.5101892285298
167,53.0790654205607
168,50.3256121393264
169,53.7993785018127
170,57.157005426739
171,54.257559429477
172,55.8122781648482
173,59.7010024196336
174,77.6444585381322
175,49.1316138363264
176,62.4061020960108
177,62.8694893806218
178,86.4327264020796
179,80.9893343322129
180,91.8430632735539
181,54.0795844260642
182,63.6313642229716
183,56.7230790559041
184,54.3366611904461
185,56.0997968208438
186,59.4497136383662
187,54.5669628010832
188,50.130426971675
189,57.7161556392326
190,78.560405159851
191,52.8359311387693
192,49.0398834456383
193,78.7376313906774
194,66.3610421025105
